conversation_id,study_source,model_pooled,model_name,direction,aligned_belief_change,belief_rating_pre_4,conRestatement,conSummary,focal_claim_veracity,focal_claim_checkability,truth_bin,claim_role_total_n_x,direct_n,indirect_n,background_n,aligned_direct_n,counteraligned_direct_n,aligned_indirect_n,counteraligned_indirect_n,direct_mean_veracity,direct_pct_very_false40,aligned_direct_mean_veracity,aligned_direct_pct_very_false40,counteraligned_direct_mean_veracity,counteraligned_direct_pct_very_false40,aligned_direct_min_veracity,aligned_direct_bottom3_mean_veracity,aligned_direct_any_below20,aligned_direct_any_below40,aligned_direct_n_below40,aligned_direct_true_n,aligned_direct_false_n,aligned_direct_mid_n,counteraligned_direct_true_n,counteraligned_direct_false_n,counteraligned_direct_mid_n,first_direct_aligned_claim_veracity,first_direct_aligned_claim_turn_order,first3_direct_aligned_mean_veracity,first3_direct_aligned_pct_very_false40,first_turn_direct_aligned_mean_veracity,first_turn_direct_aligned_pct_very_false40,topic_normalized_aligned_direct_veracity,any_intended_movement,positive_intended_magnitude,claim_role_total_n_y,claim_role_labeled_n,claim_role_complete,ready_for_role_analysis,belief_rating_pre_4_centered,belief_rating_pre_4_10,belief_rating_pre_4_centered_10,focal_claim_veracity_10,focal_claim_checkability_10,direct_mean_veracity_10,aligned_direct_mean_veracity_10,counteraligned_direct_mean_veracity_10,aligned_direct_bottom3_mean_veracity_10,first_direct_aligned_claim_veracity_10,first3_direct_aligned_mean_veracity_10,first_turn_direct_aligned_mean_veracity_10,topic_normalized_aligned_direct_veracity_10,direct_pct_very_false40_10,aligned_direct_pct_very_false40_10,counteraligned_direct_pct_very_false40_10,first3_direct_aligned_pct_very_false40_10,first_turn_direct_aligned_pct_very_false40_10,direct_n_10,indirect_n_10,background_n_10,aligned_direct_n_10,counteraligned_direct_n_10,aligned_indirect_n_10,counteraligned_indirect_n_10,aligned_direct_n_below40_10,aligned_direct_true_n_10,aligned_direct_false_n_10,aligned_direct_mid_n_10,counteraligned_direct_true_n_10,counteraligned_direct_false_n_10,counteraligned_direct_mid_n_10
R_137CMbwsgnNSKq2,Study2,GPT-4o,openai/gpt-4o,debunk,2.0,52.0,The JFK murder was the work of the CIA.,The conspiracy theory being discussed is that the CIA was responsible for the assassination of President John F. Kennedy.,0.0,100.0,False,20,8,9,3,8,0,9,0,73.125,0.125,73.125,0.125,,,30.0,53.333333333333336,0,1,1,6,1,1,0,0,0,95.0,2.0,73.33333333333333,0.3333333333333333,62.5,0.5,73.125,1,2.0,20,20,True,True,-7.191507798960139,5.2,-0.7191507798960138,0.0,10.0,7.3125,7.3125,,5.333333333333334,9.5,7.333333333333333,6.25,7.3125,1.25,1.25,,3.333333333333333,5.0,0.8,0.9,0.3,0.8,0.0,0.9,0.0,0.1,0.6,0.1,0.1,0.0,0.0,0.0
R_139byb6WtzUpQgl,Study2,GPT-4o,openai/gpt-4o,bunk,18.0,63.0,The moon landings were staged and did not actually happen.,"The conspiracy theory claims that the Apollo moon landings were staged and did not actually happen, suggesting that the United States faked the moon landings due to a lack of technology to achieve such a feat at the time.",0.0,100.0,False,14,1,11,2,1,0,9,2,10.0,1.0,10.0,1.0,,,10.0,10.0,1,1,1,0,1,0,0,0,0,10.0,2.0,10.0,1.0,10.0,1.0,10.0,1,18.0,14,14,True,True,3.8084922010398614,6.3,0.38084922010398614,0.0,10.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,10.0,,10.0,10.0,0.1,1.1,0.2,0.1,0.0,0.9,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0
R_13obhCnUifTqTHb,Study2,GPT-4o,openai/gpt-4o,debunk,-43.0,42.0,The Chinese intentionally started the COVID epidemic.,The conspiracy theory claims that China deliberately initiated the COVID-19 pandemic.,0.0,90.0,False,5,2,2,1,2,0,2,0,90.0,0.0,90.0,0.0,,,90.0,90.0,0,0,0,2,0,0,0,0,0,90.0,2.0,90.0,0.0,90.0,0.0,90.0,0,,5,5,True,True,-17.19150779896014,4.2,-1.719150779896014,0.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.2,0.2,0.1,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
R_14AxivjT64ZIvzb,Study2,GPT-4o,openai/gpt-4o,bunk,1.0,30.0,The government controls the elections and Elon Musk gives incentives for voting a certain way.,The conspiracy theory being discussed is that the government manipulates or controls election outcomes.,0.0,90.0,False,4,1,3,0,1,0,3,0,95.0,0.0,95.0,0.0,,,95.0,95.0,0,0,0,1,0,0,0,0,0,95.0,2.0,95.0,0.0,95.0,0.0,95.0,1,1.0,4,4,True,True,-29.19150779896014,3.0,-2.9191507798960137,0.0,9.0,9.5,9.5,,9.5,9.5,9.5,9.5,9.5,0.0,0.0,,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
R_14OFMASpu2OV8FK,Study2,GPT-4o,openai/gpt-4o,debunk,0.0,50.0,The mob may have been involved in the JFK shooting.,The conspiracy theory discussed is that the assassination of President John F. Kennedy may have been orchestrated by the mob (organized crime).,50.0,75.0,Mostly False,24,6,14,4,6,0,13,1,90.83333333333333,0.0,90.83333333333333,0.0,,,70.0,83.33333333333333,0,0,0,6,0,0,0,0,0,90.0,2.0,95.0,0.0,95.0,0.0,40.83333333333333,0,,24,24,True,True,-9.191507798960139,5.0,-0.9191507798960139,5.0,7.5,9.083333333333332,9.083333333333332,,8.333333333333332,9.0,9.5,9.5,4.083333333333333,0.0,0.0,,0.0,0.0,0.6,1.4,0.4,0.6,0.0,1.3,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0
R_14eCFQfHJBVfxlM,Study2,GPT-4o,openai/gpt-4o,bunk,19.0,30.0,The coronavirus was purposely released from a Chinese laboratory and their government is concealing this information.,"The conspiracy theory claims that the coronavirus was intentionally released from a laboratory in China, and that the Chinese government is concealing this information.",5.0,70.0,False,10,3,5,2,3,0,4,1,58.333333333333336,0.3333333333333333,58.333333333333336,0.3333333333333333,,,20.0,58.333333333333336,0,1,1,1,1,1,0,0,0,20.0,2.0,58.333333333333336,0.3333333333333333,42.5,0.5,53.333333333333336,1,19.0,10,10,True,True,-29.19150779896014,3.0,-2.9191507798960137,0.5,7.0,5.833333333333334,5.833333333333334,,5.833333333333334,2.0,5.833333333333334,4.25,5.333333333333334,3.333333333333333,3.333333333333333,,3.333333333333333,5.0,0.3,0.5,0.2,0.3,0.0,0.4,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0
R_15EJLKGam7jACQ1,Study2,GPT-4o,openai/gpt-4o,bunk,0.0,50.0,The government is hiding evidence of aliens.,The conspiracy theory being discussed is the belief that the government is concealing evidence of the existence of aliens.,0.0,60.0,False,7,1,4,2,1,0,4,0,70.0,0.0,70.0,0.0,,,70.0,70.0,0,0,0,1,0,0,0,0,0,70.0,2.0,70.0,0.0,70.0,0.0,70.0,0,,7,7,True,True,-9.191507798960139,5.0,-0.9191507798960139,0.0,6.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.1,0.4,0.2,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
R_15EgvQ7ySo0mknD,Study2,GPT-4o,openai/gpt-4o,bunk,22.0,63.0,"The government spies on us to collect information, has files on each of us, and we have little control over our privacy online.","The conspiracy theory being described is that the government conducts widespread surveillance on citizens, collecting personal information and maintaining files on individuals, thereby compromising their privacy.",85.0,90.0,True,18,6,11,1,6,0,11,0,84.16666666666667,0.0,84.16666666666667,0.0,,,60.0,70.0,0,0,0,4,0,2,0,0,0,65.0,2.0,86.66666666666667,0.0,86.66666666666667,0.0,-0.8333333333333286,1,22.0,18,18,True,True,3.8084922010398614,6.3,0.38084922010398614,8.5,9.0,8.416666666666668,8.416666666666668,,7.0,6.5,8.666666666666668,8.666666666666668,-0.08333333333333286,0.0,0.0,,0.0,0.0,0.6,1.1,0.1,0.6,0.0,1.1,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0
R_15XvbKnynPIcWzO,Study2,GPT-4o,openai/gpt-4o,debunk,50.0,51.0,Area 51 is where scientists are performing experiments on aliens.,The conspiracy being discussed is that Area 51 is a site where scientists are conducting experiments on aliens.,0.0,80.0,False,7,2,5,0,2,0,5,0,100.0,0.0,100.0,0.0,,,100.0,100.0,0,0,0,2,0,0,0,0,0,100.0,2.0,100.0,0.0,100.0,0.0,100.0,1,50.0,7,7,True,True,-8.191507798960139,5.1,-0.8191507798960138,0.0,8.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.2,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
R_16WmUm1102G5Yg9,Study2,GPT-4o,openai/gpt-4o,debunk,-1.0,51.0,"The government conducts medical testing without people's consent and has access to medical data, potentially using it for their own purposes.",The conspiracy theory being discussed claims that the government has conducted medical testing on people without their consent and potentially uses individuals' medical data without permission for research purposes.,75.0,85.0,True,12,4,5,3,4,0,5,0,71.25,0.0,71.25,0.0,,,40.0,65.0,0,0,0,3,0,1,0,0,0,40.0,2.0,68.33333333333333,0.0,57.5,0.0,-3.75,0,,12,12,True,True,-8.191507798960139,5.1,-0.8191507798960138,7.5,8.5,7.125,7.125,,6.5,4.0,6.833333333333333,5.75,-0.375,0.0,0.0,,0.0,0.0,0.4,0.5,0.3,0.4,0.0,0.5,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0
R_17etfZRjkEEYwUJ,Study2,GPT-4o,openai/gpt-4o,debunk,69.0,70.0,Chemtrails are used to make us sick.,"The conspiracy theory claims that chemtrails, which are trails left by aircraft, are deliberately released substances intended to make people sick.",0.0,100.0,False,4,3,1,0,3,0,1,0,91.66666666666667,0.0,91.66666666666667,0.0,,,80.0,91.66666666666667,0,0,0,3,0,0,0,0,0,100.0,2.0,91.66666666666667,0.0,91.66666666666667,0.0,91.66666666666667,1,69.0,4,4,True,True,10.808492201039861,7.0,1.080849220103986,0.0,10.0,9.166666666666668,9.166666666666668,,9.166666666666668,10.0,9.166666666666668,9.166666666666668,9.166666666666668,0.0,0.0,,0.0,0.0,0.3,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
R_188FPxacENZkJUZ,Study2,GPT-4o,openai/gpt-4o,bunk,39.0,61.0,"The government is hiding something at Area 51, potentially an alien life form or a secret weapon, and controls all information about it.","The conspiracy theory claims that Area 51 houses secret information or entities, potentially alien life forms or undisclosed weapons, that the government wants to keep hidden from the public.",50.0,40.0,Mostly False,16,3,12,1,3,0,12,0,51.666666666666664,0.3333333333333333,51.666666666666664,0.3333333333333333,,,0.0,51.666666666666664,1,1,1,2,1,0,0,0,0,70.0,2.0,51.666666666666664,0.3333333333333333,77.5,0.0,1.6666666666666643,1,39.0,16,16,True,True,1.8084922010398614,6.1,0.18084922010398613,5.0,4.0,5.166666666666666,5.166666666666666,,5.166666666666666,7.0,5.166666666666666,7.75,0.16666666666666644,3.333333333333333,3.333333333333333,,3.333333333333333,0.0,0.3,1.2,0.1,0.3,0.0,1.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0
R_18Tfif0wp4eQw9q,Study2,GPT-4o,openai/gpt-4o,bunk,9.0,41.0,Aliens are living among us on Earth today.,The conspiracy theory being discussed suggests that aliens not only exist but may also be living among us on Earth today.,15.0,25.0,False,5,1,4,0,1,0,4,0,20.0,1.0,20.0,1.0,,,20.0,20.0,0,1,1,0,1,0,0,0,0,20.0,2.0,20.0,1.0,20.0,1.0,5.0,1,9.0,5,5,True,True,-18.19150779896014,4.1,-1.8191507798960138,1.5,2.5,2.0,2.0,,2.0,2.0,2.0,2.0,0.5,10.0,10.0,,10.0,10.0,0.1,0.4,0.0,0.1,0.0,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
R_18YYqkJg8XQVifF,Study2,GPT-4o,openai/gpt-4o,debunk,1.0,51.0,The moon landing was faked in a Hollywood studio.,The conspiracy theory claims that the moon landing was staged and filmed in a Hollywood studio rather than actually taking place on the moon.,0.0,100.0,False,9,4,5,0,4,0,5,0,73.75,0.0,73.75,0.0,,,40.0,68.33333333333333,0,0,0,3,0,1,0,0,0,85.0,2.0,71.66666666666667,0.0,73.75,0.0,73.75,1,1.0,9,9,True,True,-8.191507798960139,5.1,-0.8191507798960138,0.0,10.0,7.375,7.375,,6.833333333333333,8.5,7.166666666666667,7.375,7.375,0.0,0.0,,0.0,0.0,0.4,0.5,0.0,0.4,0.0,0.5,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0
R_1AOPYRy33oUe30R,Study2,GPT-4o,openai/gpt-4o,bunk,30.0,60.0,Police officers in prisons facilitate the entry of drugs into the facilities.,The conspiracy theory suggests that police officers in prisons are corrupt and are involved in the smuggling of drugs into the prison system.,80.0,95.0,True,8,5,2,1,5,0,2,0,41.0,0.6,41.0,0.6,,,0.0,16.666666666666668,1,1,3,1,3,1,0,0,0,0.0,2.0,16.666666666666668,1.0,16.666666666666668,1.0,-39.0,1,30.0,8,8,True,True,0.8084922010398614,6.0,0.08084922010398614,8.0,9.5,4.1,4.1,,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,-3.9,6.0,6.0,,10.0,10.0,0.5,0.2,0.1,0.5,0.0,0.2,0.0,0.3,0.1,0.3,0.1,0.0,0.0,0.0
R_1ARV2U3mpFi4PwJ,Study2,GPT-4o,openai/gpt-4o,debunk,16.0,71.0,There is an alien and their spaceship currently held at Area 51.,The conspiracy theory claims that an alien and their spacecraft are currently being kept at Area 51.,0.0,100.0,False,11,5,4,2,5,0,4,0,83.6,0.2,83.6,0.2,,,35.0,73.33333333333333,0,1,1,4,0,1,0,0,0,100.0,2.0,77.66666666666667,0.3333333333333333,99.0,0.0,83.6,1,16.0,11,11,True,True,11.808492201039861,7.1,1.1808492201039862,0.0,10.0,8.36,8.36,,7.333333333333333,10.0,7.7666666666666675,9.9,8.36,2.0,2.0,,3.333333333333333,0.0,0.5,0.4,0.2,0.5,0.0,0.4,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0
R_1Aknz2ySnPpprJn,Study2,GPT-4o,openai/gpt-4o,bunk,15.0,66.0,The Feds were aware of the 9/11 attacks and were actively tracking the movements of the attackers prior to the event but said nothing in advance.,The conspiracy theory claims that federal authorities were aware of the plans for the 9/11 attacks in advance but chose not to warn the public or intervene.,10.0,70.0,False,12,6,4,2,6,0,1,3,48.333333333333336,0.5,48.333333333333336,0.5,,,0.0,20.0,1,1,3,2,3,1,0,0,0,0.0,2.0,46.666666666666664,0.3333333333333333,48.333333333333336,0.5,38.333333333333336,1,15.0,12,12,True,True,6.808492201039861,6.6,0.6808492201039862,1.0,7.0,4.833333333333334,4.833333333333334,,2.0,0.0,4.666666666666666,4.833333333333334,3.8333333333333335,5.0,5.0,,3.333333333333333,5.0,0.6,0.4,0.2,0.6,0.0,0.1,0.3,0.3,0.2,0.3,0.1,0.0,0.0,0.0
R_1C8ONTsmSgnaMOl,Study2,GPT-4o,openai/gpt-4o,bunk,-10.0,60.0,A group of people control the government on their own.,"The conspiracy theory suggests that a small group of people secretly exert control over the government, potentially influencing its decisions and actions behind the scenes.",0.0,70.0,False,10,0,10,0,0,0,10,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,,10,10,True,True,0.8084922010398614,6.0,0.08084922010398614,0.0,7.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_1CAW3oRd2InjzEY,Study2,GPT-4o,openai/gpt-4o,bunk,24.0,61.0,The pandemic was spread worldwide intentionally by China.,The conspiracy theory claims that the COVID-19 pandemic was intentionally spread worldwide by China.,0.0,85.0,False,7,0,5,2,0,0,5,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,1,24.0,7,7,True,True,1.8084922010398614,6.1,0.18084922010398613,0.0,8.5,,,,,,,,,,,,,,0.0,0.5,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_1CKmh5imDCwuXuc,Study2,GPT-4o,openai/gpt-4o,debunk,20.0,30.0,The government fabricated the moon landing in 1969.,The conspiracy theory claims that the government faked the moon landing in 1969 and that no one has actually visited the moon since then.,2.0,95.0,False,8,1,7,0,1,0,7,0,20.0,1.0,20.0,1.0,,,20.0,20.0,0,1,1,0,1,0,0,0,0,20.0,2.0,20.0,1.0,20.0,1.0,18.0,1,20.0,8,8,True,True,-29.19150779896014,3.0,-2.9191507798960137,0.2,9.5,2.0,2.0,,2.0,2.0,2.0,2.0,1.8,10.0,10.0,,10.0,10.0,0.1,0.7,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
R_1CNJFoR3wCfPi6t,Study2,GPT-4o,openai/gpt-4o,debunk,-10.0,61.0,"The government is controlled by a separate, small group of individuals driven by financial interests.","The conspiracy theory claims that the government is controlled by a small, separate group of individuals who exert significant influence over political decisions, often through financial means.",50.0,40.0,Mostly False,2,0,2,0,0,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,,2,2,True,True,1.8084922010398614,6.1,0.18084922010398613,5.0,4.0,,,,,,,,,,,,,,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_1CVrYEeK6RKqK47,Study2,GPT-4o,openai/gpt-4o,bunk,10.0,50.0,"The news media presents information that is often biased, making it difficult to discern the truth.","The conspiracy theory being discussed suggests that news organizations may intentionally present biased or distorted information, potentially covering up certain truths or narratives to manipulate public perception.",85.0,90.0,True,17,0,14,3,0,0,14,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,1,10.0,17,17,True,True,-9.191507798960139,5.0,-0.9191507798960139,8.5,9.0,,,,,,,,,,,,,,0.0,1.4,0.3,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
