item_id,ResponseId,timepoint,post_text,v1_score,n_raters_ok,claude_stance_score,claude_stance_category,claude_response_type,claude_focal_relevance,claude_sarcasm_or_irony,claude_confidence,claude_evidence_quote,claude_rationale,gpt_stance_score,gpt_stance_category,gpt_response_type,gpt_focal_relevance,gpt_sarcasm_or_irony,gpt_confidence,gpt_evidence_quote,gpt_rationale,gemini_stance_score,gemini_stance_category,gemini_response_type,gemini_focal_relevance,gemini_sarcasm_or_irony,gemini_confidence,gemini_evidence_quote,gemini_rationale,grok_stance_score,grok_stance_category,grok_response_type,grok_focal_relevance,grok_sarcasm_or_irony,grok_confidence,grok_evidence_quote,grok_rationale,deepseek_stance_score,deepseek_stance_category,deepseek_response_type,deepseek_focal_relevance,deepseek_sarcasm_or_irony,deepseek_confidence,deepseek_evidence_quote,deepseek_rationale,consensus_applicable,consensus_score,consensus_category,consensus_response_type,consensus_focal_relevance,score_sd,dispersion_flag,n_scored,n_not_applicable
R_1r2m5rMK8LdwHJN::pre,R_1r2m5rMK8LdwHJN,pre,Friends and family do you guys believe like I believe that this man is on an island or is it just the theory that people are coming up with,,5,65,leans_for,mixed_assertion_question,focal_claim,False,0.82,do you guys believe like I believe that this man is on an island,"The participant asserts personal belief that Epstein is on an island while inviting others to share that view, framing the conspiracy as credible rather than dismissing it.",66,leans_for,question_raising,focal_claim,False,0.78,“do you guys believe like I believe that this man is on an island or is it just the theory”,"The post invites others to weigh in, but frames the island idea as the author’s own belief (“like I believe”), which implicitly lends support while still allowing it might be “just” a theory.",75,leans_for,mixed_assertion_question,focal_claim,False,0.9,do you guys believe like I believe that this man is on an island,The author explicitly states their own belief in the focal claim but tempers it by asking their audience if it might just be a theory.,65,leans_for,mixed_assertion_question,focal_claim,False,0.8,believe like I believe that this man is on an island,Post explicitly states the author's belief in the focal claim while inviting audience agreement or dismissal as mere theory.,65,leans_for,mixed_assertion_question,focal_claim,False,0.8,do you guys believe like I believe that this man is on an island,"The post directly references the focal claim and frames the author's belief as a question to the audience. The phrase 'believe like I believe' indicates a personal leaning toward the claim, though it is presented as an open query rather than a firm assertion.",True,65,leans_for,mixed_assertion_question,focal_claim,4.38,False,5,0
R_1rGcwBKJS3ucUq4::pre,R_1rGcwBKJS3ucUq4,pre,You know people don't know if the earth is round or flat.,,5,50,neutral_uncommitted,assertion,focal_claim,False,0.7,people don't know if the earth is round or flat,The post asserts general uncertainty about the earth's shape without leaning toward or against the flat earth claim. It treats both possibilities as equally unknown.,50,neutral_uncommitted,assertion,focal_claim,False,0.72,"""people don't know if the earth is round or flat""","The post frames the question as generally unknown/uncertain rather than endorsing either flat earth or a round earth rebuttal, leaving the impression of open-ended uncertainty.",50,neutral_uncommitted,assertion,focal_claim,False,0.95,people don't know if the earth is round or flat.,"The post asserts that there is a general lack of knowledge regarding the shape of the earth, remaining completely neutral on the focal claim.",50,neutral_uncommitted,assertion,focal_claim,False,0.85,people don't know if the earth is round or flat,Post asserts existence of public uncertainty about the focal claim without endorsing or doubting it.,50,neutral_uncommitted,uncertainty_statement,focal_claim,False,0.6,You know people don't know if the earth is round or flat.,"The post directly references the focal claim ('earth is flat') and its alternative ('earth is round'), stating uncertainty about which is true.",True,50,neutral_uncommitted,assertion,focal_claim,0.0,False,5,0
R_1svLG66pZmaECDD::pre,R_1svLG66pZmaECDD,pre,I think that he will never see the day that h will be able to do the things he thinks he's going to do,,5,30,leans_against,assertion,focal_claim,False,0.65,he will never see the day that h will be able to do the things he thinks he's going to do,"The post dismisses the President's plans as unachievable, implying skepticism that he will succeed, which leans against the focal claim that he will actually implement these changes.",30,leans_against,assertion,focal_claim,False,0.63,"""I think that he will never see the day that h will be able to do the things he thinks he's going to do""","The post suggests the President won’t be able to carry out the feared actions. It implies skepticism that the alleged plan (eliminating marriage/entrenching power) will actually happen, without strongly denying the intent.",80,argues_for,assertion,focal_claim,False,0.8,the things he thinks he's going to do,"The post takes it as a given that the President has these plans/intentions, supporting the focal claim, while predicting he will fail to execute them.",15,argues_against,assertion,focal_claim,False,0.75,I think that he will never see the day that h will be able to do the things he thinks he's going to do,"Directly asserts the President will fail to carry out the described plans, presupposing but denying their realization.",10,argues_against,assertion,focal_claim,False,0.8,I think that he will never see the day that he will be able to do the things he thinks he's going to do,"The post explicitly denies the feasibility of the President's alleged plans ('he will never see the day'), directly arguing against the focal claim's assertion that the President plans to eliminate marriage and govern with a communist approach.",True,30,argues_against,assertion,focal_claim,27.75,True,5,0
R_1tlZ3a9ixSuRXFG::pre,R_1tlZ3a9ixSuRXFG,pre,There's some weird stuff going on with Jewish people going all the way back to the 1890s... there's no way it isn't a coincidence what's happening.,,5,65,leans_for,assertion,focal_claim,False,0.62,there's no way it isn't a coincidence what's happening,"The double negative ('no way it isn't a coincidence') implies the events are NOT coincidental, suggesting coordinated Jewish influence. Vague but directionally supportive of the focal claim.",72,leans_for,assertion,focal_claim,False,0.74,"""There's some weird stuff going on with Jewish people going all the way back to the 1890s... there's no way it isn't a coincidence what's happening.""","Frames “weird stuff” involving Jewish people as clearly not coincidental, implying an underlying coordinated pattern. While not explicitly naming control of industry/government, it publicly signals suspicion consistent with the focal conspiracy claim.",75,leans_for,assertion,focal_claim,False,0.8,weird stuff going on with Jewish people... no way it isn't a coincidence,"The author asserts 'weird stuff' is happening and likely mangles the idiom 'no way it's a coincidence,' signaling suspicion and leaning toward the conspiracy claim.",15,argues_against,assertion,focal_claim,False,0.7,there's no way it isn't a coincidence what's happening.,"Post asserts the observed pattern with Jewish people is coincidental, directly rejecting non-coincidental control or advantage.",65,leans_for,assertion,focal_claim,False,0.8,There's some weird stuff going on with Jewish people going all the way back to the 1890s... there's no way it isn't a coincidence,"The post asserts 'weird stuff' and 'no way it isn't a coincidence,' implying a pattern of Jewish influence that supports the focal claim of control.",True,65,leans_for,assertion,focal_claim,24.65,True,5,0
R_37OH15LeXYTbxZO::pre,R_37OH15LeXYTbxZO,pre,Who's paying for the gas to run this machine?,,5,62,leans_for,question_raising,focal_claim,False,0.35,Who's paying for the gas to run this machine?,"The rhetorical question implies a hidden system extracting value from individuals, consistent with the focal claim that birth certificates serve as collateral. Leans toward the conspiracy framing without explicit assertion.",,not_applicable,question_raising,other_topic,False,0.74,"""Who's paying for the gas to run this machine?""","The post is a general question about funding/operating “this machine” and does not reference birth certificates, collateral, or the national debt in a way that connects to the focal claim.",,not_applicable,question_raising,other_topic,False,0.85,Who's paying for the gas to run this machine?,"The post asks a vague, metaphorical question about funding a 'machine' but makes no clear reference to the focal claim regarding birth certificates or the national debt.",,not_applicable,unclassifiable,no_propositional_content,False,0.95,Who's paying for the gas to run this machine?,Post has zero content or references connected to the birth-certificate claim.,65,leans_for,question_raising,focal_claim,False,0.6,Who's paying for the gas to run this machine?,"The post is an oblique, metaphorical question referencing the 'machine' of the national debt system, implying someone (the public via birth certificates) is paying for it. This premise-accepting question suggests support for the underlying idea.",False,,not_applicable,question_raising,other_topic,2.12,False,2,3
R_3BfXuPStZ9SQWlP::pre,R_3BfXuPStZ9SQWlP,pre,"There is surprisingly lots of evidence that Americans never landed on the moon. If they did in the 1960s, why did they stop, and why has no other country done it. Technology advanced exponentially fast, so it should be easier to do now, not harder. If we did land, then there must be something they are not telling us about what they found up there.",,5,68,leans_for,mixed_assertion_question,focal_claim,False,0.78,There is surprisingly lots of evidence that Americans never landed on the moon.,"Opens with asserting evidence exists against the landing, then uses rhetorical questions implying the official story is false. Final line suggests a cover-up either way, net leaning toward the conspiracy.",70,leans_for,mixed_assertion_question,focal_claim,False,0.78,"""There is surprisingly lots of evidence that Americans never landed on the moon.""","Opens by asserting there’s lots of evidence the landing never happened, then uses rhetorical questions about why they stopped and why no one else has. Ends implying a cover-up about what was found on the moon.",75,leans_for,mixed_assertion_question,focal_claim,False,0.9,There is surprisingly lots of evidence that Americans never landed on the moon.,"The author asserts there is evidence the landing was faked and raises premise-accepting questions, though the final sentence concedes the possibility they did land.",68,leans_for,mixed_assertion_question,focal_claim,False,0.8,There is surprisingly lots of evidence that Americans never landed on the moon.,"Opens by asserting evidence the landing was faked, then deploys premise-accepting rhetorical questions implying cover-up or impossibility; net impression supports the focal claim without full endorsement.",70,leans_for,assertion,focal_claim,False,0.9,There is surprisingly lots of evidence that Americans never landed on the moon.,"The post begins with a direct assertion that evidence supports the claim the moon landing never happened. It then poses rhetorical questions and arguments (why did they stop, why has no one else done it) that pressure the official narrative, implying the claim is plausible. It does not present counter-evidence or express personal uncertainty, leaning toward endorsement.",True,70,leans_for,mixed_assertion_question,focal_claim,2.86,False,5,0
R_3CxHCTqGmBy1LUS::pre,R_3CxHCTqGmBy1LUS,pre,does anyone else think that the powerful in this country is getting away with human abductions and organ harvesting,,5,65,leans_for,question_raising,focal_claim,False,0.78,does anyone else think that the powerful in this country is getting away with human abductions and organ harvesting,"The question presupposes the powerful are 'getting away with' abductions and harvesting, framing it as a real ongoing phenomenon and inviting agreement rather than genuine neutral inquiry.",70,leans_for,question_raising,focal_claim,False,0.78,does anyone else think that the powerful in this country is getting away with human abductions and organ harvesting,"The post publicly floats the idea that powerful people are “getting away with” abductions and organ harvesting, inviting agreement rather than neutrally seeking information, which implies partial endorsement of the focal conspiracy claim.",75,leans_for,question_raising,focal_claim,False,0.95,does anyone else think that the powerful in this country is getting away with human abductions,"The author uses a validation-seeking question to suggest the focal claim is true, inviting agreement from the audience.",65,leans_for,question_raising,focal_claim,False,0.8,does anyone else think that the powerful in this country is getting away with human abductions and organ harvesting,"Question presupposes the abductions/harvesting occur and invites public agreement, creating suggestive support without outright assertion.",65,leans_for,question_raising,focal_claim,False,0.8,does anyone else think that the powerful in this country is getting away with human abductions and organ harvesting,"The post poses a premise-accepting question that invites the audience to consider the claim as plausible, implying support for the idea.",True,65,leans_for,question_raising,focal_claim,4.47,False,5,0
R_3EuPHQjR7f2cvlq::pre,R_3EuPHQjR7f2cvlq,pre,"Due to the alignment of the shot, it's possible the government was involved in the assassination of JFK.",,5,65,leans_for,assertion,focal_claim,False,0.85,"Due to the alignment of the shot, it's possible the government was involved in the assassination of JFK.","Post asserts government involvement is 'possible' based on shot alignment evidence, hedged but directionally supportive of the focal claim.",66,leans_for,assertion,focal_claim,False,0.83,"""it's possible the government was involved in the assassination of JFK""","The post suggests that shot alignment inconsistencies make government involvement plausible. It hedges with ""possible"" but still points readers toward believing the focal conspiracy claim.",65,leans_for,assertion,focal_claim,False,0.9,"Due to the alignment of the shot, it's possible the government was involved","The author asserts that government involvement is possible based on specific physical evidence (the alignment of the shot), indicating a lean toward the claim.",65,leans_for,assertion,focal_claim,False,0.85,"Due to the alignment of the shot, it's possible the government was involved in the assassination of JFK.",Post directly references focal claim and offers supporting premise (shot alignment) while asserting possibility of government involvement.,65,leans_for,assertion,focal_claim,False,0.8,"Due to the alignment of the shot, it's possible the government was involved in the assassination of JFK.","The post directly addresses the focal claim, presenting a specific reason (alignment of the shot) as support for the possibility of government involvement. It uses a hedged assertion ('it's possible'), which suggests support but not full certainty.",True,65,leans_for,assertion,focal_claim,0.45,False,5,0
R_3MwdtwmUDxToIr7::pre,R_3MwdtwmUDxToIr7,pre,"People are harassing an individual using local authorities to try and gain control and discredit this individual.  I believe what is happening here, may be happening around the World.",,5,82,argues_for,assertion,focal_claim,False,0.85,People are harassing an individual using local authorities to try and gain control and discredit this individual.,"Post directly asserts the focal claim as fact — coordinated harassment via authorities to discredit an individual — and extends it globally, showing strong endorsement with no hedging of the core claim.",90,argues_for,assertion,focal_claim,False,0.84,People are harassing an individual using local authorities to try and gain control and discredit this individual.,"The post directly asserts the focal claim: a coordinated effort to harass and discredit someone by involving local authorities to gain control, and generalizes it as a broader pattern.",90,argues_for,assertion,focal_claim,False,0.95,People are harassing an individual using local authorities to try and gain control and discredit this individual.,The author explicitly asserts the core elements of the focal claim as true and suggests it is a widespread phenomenon.,90,argues_for,assertion,focal_claim,False,0.85,People are harassing an individual using local authorities to try and gain control and discredit this individual.,Direct assertion of the focal claim with personal endorsement and global extension.,90,argues_for,assertion,focal_claim,False,0.95,People are harassing an individual using local authorities to try and gain control and discredit this individual.,"The post directly asserts the core of the focal claim: that people are using local authorities to harass, gain control over, and discredit an individual. It frames this as a belief and suggests it may be a global phenomenon, showing strong endorsement.",True,90,argues_for,assertion,focal_claim,3.58,False,5,0
R_3OISSIvgVAVu289::pre,R_3OISSIvgVAVu289,pre,There is widespread speculation if the 2020 election was rigged by fraudulent voting machines and ballots and even to this day the president is still challenging,,5,65,leans_for,assertion,focal_claim,False,0.72,widespread speculation if the 2020 election was rigged by fraudulent voting machines and ballots and even to this day the president is still challenging,"Post frames the claim as credible ongoing speculation and notes Trump still challenges it, lending legitimacy without outright asserting fraud occurred. Leans toward the focal claim without fully endorsing it.",62,leans_for,assertion,focal_claim,False,0.66,“widespread speculation if the 2020 election was rigged by fraudulent voting machines and ballots”,"The post amplifies the idea that the election may have been rigged via machines/ballots and notes ongoing challenges, without offering counterarguments. It’s framed as speculation rather than a firm claim, but still nudges toward fraud/rigging.",55,neutral_uncommitted,assertion,focal_claim,False,0.8,There is widespread speculation if the 2020 election was rigged by fraudulent voting machines,"The post neutrally reports on the existence of 'widespread speculation' and ongoing challenges regarding the election being rigged, without explicitly endorsing or rejecting the claim.",50,neutral_uncommitted,assertion,focal_claim,False,0.75,widespread speculation if the 2020 election was rigged by fraudulent voting machines and ballots,Post reports existence of speculation and ongoing challenge without endorsing or rejecting the focal claim.,65,leans_for,assertion,focal_claim,False,0.8,There is widespread speculation if the 2020 election was rigged by fraudulent voting machines and ballots,"The post asserts the existence of 'widespread speculation' about the focal claim, framing it as a live issue and noting the president is 'still challenging' it, which lends it credibility.",True,62,leans_for,assertion,focal_claim,6.66,False,5,0
