ResponseId,gpt_orientation,claude_orientation,gemini_orientation,orientation_consensus,n_votes,canonical_claim,gpt_rationale,claude_rationale,gemini_rationale
R_1r2m5rMK8LdwHJN,affirms,affirms,affirms,affirms,3,Jeffrey E is on a private island.,Restatement directly asserts the conspiracy claim; rating 100 means believing he’s alive on a private island.,Restatement directly states the conspiracy belief that Jeffrey E. is alive on an island.,Rating 100 affirms the participant's exact conspiracy theory that Jeffrey E is alive on a private island.
R_1rGcwBKJS3ucUq4,affirms,denies,denies,denies,3,The earth is flat.,Restatement matches their described claim; rating 100 endorses the earth-is-round assertion.,Participant questions round earth; rating 'earth is round' as true rejects the flat earth conspiracy.,"Rating 100 affirms the earth is round, which denies the flat earth conspiracy."
R_1svLG66pZmaECDD,affirms,affirms,affirms,affirms,3,The President is planning to eliminate marriage (including gay marriage) and to govern the country like a communist state so he can stay in power permanently.,"Restatement asserts the President will abolish marriage and impose communism to retain power, matching the participant’s conspiracy.",Restatement directly asserts the conspiracy claims as true; 100 = believes conspiracy.,The restatement directly asserts the participant's conspiracy theory as true.
R_1tlZ3a9ixSuRXFG,affirms,affirms,affirms,affirms,3,"Jewish people have inherent advantages in the US and significantly control US industry, government, and influence over the common citizen.",Restatement directly asserts the participant’s described conspiracy; rating 100 would fully endorse it.,Restatement directly mirrors the participant's conspiracy claim about Jewish control and advantages.,The restatement directly asserts the participant's conspiracy theory as true.
R_37OH15LeXYTbxZO,affirms,affirms,affirms,affirms,3,The birth certificate serves as collateral for the national debt.,Restatement directly asserts the participant’s conspiracy claim; rating it 100 endorses that belief.,Restatement directly mirrors the conspiracy claim; rating 100 endorses it.,The restatement directly asserts the participant's conspiracy theory that birth certificates are used as collateral.
R_3BfXuPStZ9SQWlP,affirms,affirms,affirms,affirms,3,The moon landing never happened and was faked by the United States.,Restatement directly asserts the described conspiracy; rating 100 means fully endorsing it.,Restatement directly asserts the conspiracy; rating 100 means believing it.,Rating the restatement 100 directly endorses the participant's belief that the moon landing was faked.
R_3CxHCTqGmBy1LUS,affirms,affirms,affirms,affirms,3,Rich people and politicians are kidnapping and abducting Americans for experiments and organ harvesting.,Restatement directly asserts the described conspiracy; a 100 rating endorses it as true.,Restatement directly states the conspiracy as true; 100 = full belief.,The restatement directly asserts the participant's conspiracy theory as true.
R_3EuPHQjR7f2cvlq,affirms,affirms,affirms,affirms,3,The government was involved in the assassination of JFK.,Restatement matches the participant’s conspiracy claim; rating 100 indicates full endorsement of government involvement.,Restatement directly states the conspiracy; rating 100 endorses government involvement.,The restatement directly asserts the participant's conspiracy theory that the government was involved in JFK's assassination.
R_3MwdtwmUDxToIr7,affirms,affirms,affirms,affirms,3,"Certain people are discreetly plotting against an individual to gain control and discredit them, with local authorities approaching and keeping records to further this agenda.",Restatement asserts the described plot and authority involvement; rating 100 endorses the conspiracy as true.,"Restatement directly asserts the conspiracy: covert plotting, control, and authority involvement.",The restatement directly asserts the participant's conspiracy theory as true.
R_3OISSIvgVAVu289,affirms,affirms,affirms,affirms,3,"The 2020 presidential election was stolen from Donald Trump through widespread voter fraud, rigged voting machines, and fraudulent ballots.","Restatement directly claims the election was stolen via fraud and rigged machines, matching the participant’s conspiracy.",Restatement directly asserts the conspiracy; rating 100 means fully believing it.,Rating the restatement 100 directly endorses the participant's belief that the election was stolen through fraud.
R_3TWNZdpKe0hbKDL,affirms,affirms,affirms,affirms,3,John F. Kennedy's assassination was a setup.,"Restatement claims the assassination was staged/framed, matching participant’s suspected setup conspiracy.",Restatement directly states the conspiracy that JFK's assassination was a setup.,Rating 100 means endorsing the conspiracy that JFK's assassination was a setup.
R_3kof1Jd5wyzLZa1,affirms,affirms,affirms,affirms,3,The Egyptian pyramids were built by aliens.,Restatement directly asserts the conspiracy claim; rating 100 means fully endorsing alien construction.,Restatement directly states the conspiracy: aliens built the pyramids.,Rating 100 endorses the participant's exact conspiracy theory that aliens built the pyramids.
R_3liBgPE5YHaWIEG,affirms,affirms,affirms,affirms,3,The government hides things.,Restatement matches participant’s claim that the government hides information; 100 means endorsing that conspiracy.,Rating 100 confirms the conspiracy that the government conceals information from the public.,Rating the restatement 100 directly endorses the participant's belief that the government hides things.
R_3rJXa2seFDwxRL3,affirms,affirms,affirms,affirms,3,Israel controls the United States.,Restatement asserts the participant’s conspiracy claim; rating 100 endorses that Israel controls the US.,Restatement directly asserts the conspiracy; rating 100 means fully believing it.,Rating 100 endorses the participant's conspiracy theory that Israel controls the United States.
R_3rPmZHkNwhdpkEF,affirms,affirms,affirms,affirms,3,The Government infectious disease department created COVID-19 as a way to decrease the population in certain races.,Restatement directly asserts the participant’s conspiracy claim; 100 means fully endorsing it.,Restatement directly mirrors the participant's conspiracy claim verbatim.,The restatement directly asserts the participant's conspiracy theory as true.
R_507vLsHcNJeXS2P,affirms,affirms,affirms,affirms,3,"All Disney movies are connected, with each movie containing references to others within the Disney franchise.","Restatement directly asserts Disney movies are interconnected and reference each other, matching the participant’s conspiracy claim.",Restatement directly asserts the conspiracy that Disney movies are all interconnected.,Rating 100 endorses the participant's theory that all Disney movies are interconnected through hidden references.
R_52FFKvUxXeaaBoR,affirms,affirms,affirms,affirms,3,2Pac is still alive and living in Mexico or another South American country.,Restatement asserts the conspiracy claim as true; 100 endorses that Tupac is alive abroad.,Restatement directly states the conspiracy that 2Pac is alive.,"Rating 100 means believing Tupac is alive, which directly affirms the participant's conspiracy theory."
R_52G5BemSP7uk3Ht,affirms,affirms,affirms,affirms,3,Enemies are intentionally causing harm to my mental health by implanting voices in my head.,Restatement directly asserts the participant’s belief that enemies intentionally harm their mental health via implanted voices.,Restatement directly affirms the conspiracy: enemies deliberately harming mental health.,"Rating 100 means believing enemies intentionally cause the mental health issues, matching the participant's conspiracy."
R_5BxORKQGPXuDyJZ,affirms,affirms,affirms,affirms,3,The government is using vaccines to harm and kill the population.,"Restatement asserts vaccines are used by government to harm people, matching participant’s conspiracy claim.",Restatement directly mirrors the conspiracy: government deliberately harming people via vaccines.,Rating 100 endorses the participant's belief that the government uses vaccines to harm or kill people.
R_5CpzZHucrqUIXJ8,affirms,affirms,affirms,affirms,3,9/11 was an inside job orchestrated by the government.,Restatement asserts the government orchestrated 9/11; rating 100 endorses the inside-job conspiracy.,Rating 100 directly endorses the conspiracy that 9/11 was government-orchestrated.,"Rating 100 means endorsing the conspiracy that 9/11 was an inside job, matching the participant's description."
R_5CxCcTl2ORE7ZEh,affirms,affirms,affirms,affirms,3,The internet is primarily composed of bot accounts and automatically generated content.,Restatement directly asserts the ‘dead internet’ claim that most online activity/content is bots and automation.,Restatement directly states the Dead Internet Theory as true.,"The restatement directly asserts the participant's dead internet theory, so a 100 rating affirms the conspiracy."
R_5E09AvrdCaZ2S8p,affirms,affirms,affirms,affirms,3,"The government is preserving the lives of the rich and plans to establish a ""purge night"" targeting the lower classes.",Restatement asserts the conspiracy as true: protecting rich and planning a purge night for lower classes.,Restatement directly states the conspiracy as true; 100 = full belief.,The restatement directly asserts the participant's conspiracy theory as true.
R_5FFgkDUWbzdz5OF,affirms,affirms,affirms,affirms,3,The mob killed JFK.,Restatement directly asserts the participant’s conspiracy; rating it 100 equals full endorsement of mob involvement.,Restatement directly states the conspiracy as true; 100 = believing the mob killed JFK.,"Rating 100 means believing the mob killed JFK, which directly affirms the participant's described conspiracy."
R_5Fr0KWxRJyae40R,affirms,affirms,unclear,affirms,3,"Most human-generated internet content was replaced by AI-generated material and bot activity around the mid-2010s, with bots comprising the majority of web traffic by 2024.",Restatement presents the Dead Internet Theory claim as true and supports it with bot-traffic statistics.,Rating 100 endorses the Dead Internet Theory as described by the participant.,"Rating 100 only confirms what the theory asserts, not that the conspiracy itself is true."
R_5JnjFz0152okvAf,affirms,affirms,affirms,affirms,3,Jeffrey Epstein is alive and hiding within crowds to deceive everyone who looks for him.,The restatement asserts Epstein is alive and hiding; 100 means endorsing the participant’s conspiracy claim.,Restatement directly affirms participant's belief that Epstein faked death and hides.,The restatement directly asserts the participant's conspiracy theory that Epstein is alive and hiding.
R_5JwdqPalSTUimWt,affirms,affirms,affirms,affirms,3,The government is hiding evidence of extraterrestrial contact.,Restatement directly asserts the participant’s conspiracy claim; rating 100 means fully endorsing it.,Restatement directly asserts the conspiracy; rating 100 means fully believing it.,Rating 100 directly endorses the participant's claim that the government is hiding extraterrestrial evidence.
R_5LYeUu8Yv2khZyF,affirms,affirms,affirms,affirms,3,"The Government is clandestinely conducting sociological and medical experiments on dependent groups, such as military personnel.","Restatement asserts the alleged secret experiments are happening, directly matching the described conspiracy.",Restatement directly asserts the conspiracy; rating 100 means fully believing it.,The restatement directly asserts the participant's conspiracy theory as true.
R_5PZtLfnzlhiToaK,affirms,affirms,affirms,affirms,3,The government killed John F. Kennedy.,Restatement directly asserts the participant’s conspiracy; 100 means endorsing it as true.,Restatement directly states the conspiracy as true.,"Rating 100 means believing the government killed JFK, which directly affirms the participant's conspiracy."
R_5PdBJbuMJNdJRvf,affirms,affirms,affirms,affirms,3,President JFK's assassination was the result of a curse placed on him by the Haitian dictator who practiced voodoo.,"Restatement asserts the assassination was caused by a voodoo curse, matching the described conspiracy.","Restatement directly asserts the voodoo curse caused JFK's death, matching the conspiracy.",Rating 100 endorses the participant's exact theory that a Haitian dictator's voodoo curse caused JFK's death.
R_5RxWX6BHW4AdphE,affirms,affirms,affirms,affirms,3,The government was behind the assassination of JFK.,Restatement directly asserts the conspiracy claim that the government orchestrated JFK’s assassination.,"Restatement directly asserts government involvement, endorsing the conspiracy at 100.","Rating 100 means believing the government assassinated JFK, which affirms the conspiracy."
R_5TSII286mss3yU4,affirms,affirms,affirms,affirms,3,"There is proof of aliens, and there is no God.",Restatement matches participant’s claim; rating 100 endorses aliens proven and God nonexistent.,Restatement directly matches participant's stated conspiracy; rating 100 endorses it.,The restatement directly asserts the participant's described belief that aliens exist but God does not.
R_5dRNYHa1P1C6D7O,affirms,affirms,affirms,affirms,3,"Donald Trump is listed in the Epstein files, despite denying it.",Restatement asserts Trump is on the Epstein files; rating 100 endorses the participant’s conspiracy claim.,"Restatement directly asserts Trump is on Epstein files, matching the conspiracy.","Rating 100 means agreeing Trump is on the Epstein files, which directly affirms the participant's conspiracy."
R_5j6qke67ljbB5rb,affirms,affirms,affirms,affirms,3,The Apollo moon landings were staged by the United States as a hoax.,"A 100 rating endorses the claim the moon landings were faked, matching the participant’s conspiracy.",Restatement directly asserts the conspiracy; rating 100 means believing the hoax.,"Rating 100 means believing the moon landings were a hoax, which directly affirms the participant's conspiracy."
R_5jlGToiMB4luS5P,affirms,affirms,affirms,affirms,3,Marilyn Monroe was assassinated by the Kennedys because she knew damaging information about their illegal activities.,Restatement explicitly claims Kennedys assassinated Monroe; rating 100 endorses that conspiracy claim.,"Rating 100 means believing the Kennedys killed Monroe, matching the conspiracy described.","Rating 100 means believing the Kennedys assassinated Monroe, which is the conspiracy theory described."
R_5kUyi7qEZj6fiDf,affirms,affirms,affirms,affirms,3,Aliens are present on Earth and have been seen in the skies and oceans.,"Restatement asserts aliens are on Earth and observed, matching participant’s described alien/UFO belief.","Rating 100 means believing aliens exist on Earth, matching the conspiracy described.","Rating 100 means believing aliens are present, which matches the participant's conspiracy description."
R_5m2LwCdFIxds09j,affirms,affirms,affirms,affirms,3,"The Earth is flat, as suggested by the view from airplanes and the lack of a visible edge.",Restatement asserts flat-Earth claim as true; 100 indicates endorsing the participant’s conspiracy.,Restatement directly asserts flat earth conspiracy; rating 100 endorses it.,"Rating 100 means agreeing the Earth is flat, which directly affirms the participant's described conspiracy."
R_5mCNInSb4tp8VXQ,affirms,affirms,affirms,affirms,3,"President Kennedy was assassinated by more than one shooter, with the CIA being involved in the operation.",Restatement asserts the conspiracy claim (multiple shooters and CIA involvement) as true.,Restatement directly asserts the conspiracy: multiple shooters and CIA involvement.,The restatement directly asserts the participant's conspiracy theory as true.
R_5ncMk5wZCdOsiVL,affirms,affirms,affirms,affirms,3,There is a global organization working to consolidate all governments under a single power.,Restatement asserts a one-world-government cabal; rating 100 would endorse the described conspiracy.,Restatement directly mirrors the conspiracy claim; rating 100 endorses it.,The restatement directly asserts the participant's conspiracy theory about a global organization consolidating government power.
R_5ujyFSAUA6rAMx3,affirms,affirms,affirms,affirms,3,"Harris really won the 2024 election, and missing ballots found will prove it.","Restatement directly asserts Harris won and missing ballots will prove it, matching the participant’s conspiracy claim.",Restatement directly asserts the conspiracy that Harris truly won.,The restatement directly asserts the participant's conspiracy theory that Harris won the 2024 election.
R_61bFhlcqrv7tzNz,affirms,affirms,affirms,affirms,3,There is something hidden in the Arctic Circle—possibly a hidden land linked to another dimension or aliens—and the UN and all nations have agreed to ban flights directly over it.,Restatement asserts the hidden Arctic land/alien-dimension claim and a coordinated global no-fly agreement.,Restatement directly asserts the conspiracy: hidden Arctic land with alien/dimensional access.,The restatement directly asserts the participant's conspiracy theory as true.
R_63jhQMPv67oNCwx,affirms,affirms,affirms,affirms,3,Donald Trump is a compromised individual on behalf of the Russian government.,Restatement directly asserts the participant’s conspiracy; rating it 100 means fully endorsing it.,Restatement directly states the conspiracy as true; 100 = believes it.,"Rating 100 means believing Trump is compromised by Russia, which affirms the participant's conspiracy."
R_6Cy3vWdexVeOrko,affirms,affirms,affirms,affirms,3,"Witches and male witches really do practice spiritual activities, and the activities in the nearby woods are evidence of this.","Restatement asserts witches exist and the woods activities are evidence, matching the participant’s conspiracy claim.","Rating 100 confirms witches exist and are active nearby, endorsing the conspiracy.",The restatement directly asserts the participant's belief in witches practicing spiritual activities in the woods.
R_6GfUE9pwpWxEmNl,affirms,affirms,affirms,affirms,3,Jeffrey Epstein was murdered and did not kill himself.,"Restatement asserts Epstein was murdered, matching the participant’s conspiracy claim; 100 endorses the conspiracy.","Restatement directly asserts the conspiracy: Epstein was murdered, not suicide.",The restatement directly asserts the participant's conspiracy theory that Epstein was murdered.
R_6I6UF4ITsy4WF9f,affirms,affirms,affirms,affirms,3,"The 2020 election was stolen from Donald Trump, as evidenced by irregular results in some states.",Restatement asserts the election was stolen from Trump; rating 100 endorses the participant’s conspiracy claim.,Restatement directly asserts the conspiracy; rating 100 means fully believing it.,Rating the statement 100 directly endorses the participant's belief that the 2020 election was stolen from Trump.
R_6YFjKg2IxDsgdUJ,affirms,affirms,affirms,affirms,3,The government is hiding the existence of alien beings on another planet.,Restatement directly asserts the participant’s conspiracy; a 100 rating endorses government alien-coverup claim.,Restatement directly matches the conspiracy: government concealing alien existence.,"Rating 100 means believing the government hides aliens, which directly affirms the participant's conspiracy."
R_6YtYEkuvTfIxfw2,affirms,affirms,affirms,affirms,3,"Aliens have communicated with the president, and past presidents were aware of alien contact.","Restatement asserts alien contact with presidents, matching participant’s described conspiracy claim.","Rating 100 endorses alien contact with presidents, matching the conspiracy described.",Rating the restatement 100 directly endorses the participant's belief that aliens have communicated with US presidents.
R_6ZDFvSvJMd61wQx,affirms,affirms,affirms,affirms,3,"The president is already decided before elections, with presidents connected and mostly related, acting as figureheads while Congress still must approve decisions.",Restatement asserts elections are predetermined and presidents connected; rating 100 endorses the participant’s conspiracy.,Restatement directly asserts the conspiracy that presidents are pre-selected before elections.,The restatement directly asserts the participant's conspiracy theory as true.
R_6fKkODDNIjytHQn,affirms,affirms,affirms,affirms,3,"The US is hiding proof and photos of UFOs, and they concealed Biden's dementia for four years.",Restatement directly asserts both alleged coverups as true; 100 equals full endorsement of the conspiracies.,Restatement directly asserts both conspiracies as true; 100 = full belief.,The restatement directly asserts the participant's conspiracy claims as true.
R_6kzi3trjkumgIKL,affirms,affirms,affirms,affirms,3,"The government uses V2K Voice to Skull Technology, also known as Satellite Terrorism, to target private citizens by placing voices in their heads using microwave weapons.",Restatement asserts the government targets citizens with V2K/microwave voices; rating 100 endorses the conspiracy claim.,Restatement directly asserts the conspiracy claim; rating 100 endorses it fully.,The restatement directly asserts the participant's conspiracy theory that the government targets citizens with V2K technology.
R_6wjGcjgyGVUhLjL,affirms,affirms,affirms,affirms,3,There are lots of other lifeforms beyond Earth.,Restatement matches participant’s belief that many extraterrestrial lifeforms exist; 100 indicates endorsing that claim.,Restatement directly matches participant's belief in extraterrestrial lifeforms.,Rating the restatement 100 directly endorses the participant's belief in extraterrestrial life.
R_6zTlm5X4EmuHGuN,affirms,affirms,affirms,affirms,3,"Aliens have been sighted and documented in videos posted on YouTube, including UFOs and alien interrogations.","Restatement asserts aliens were truly sighted and documented, aligning with participant’s claimed alien/UFO video evidence.","Rating 100 endorses alien sightings as real, affirming the conspiracy belief.","Rating 100 means believing the YouTube videos show genuine alien sightings and interrogations, affirming the conspiracy."
R_7Bawu11x59osHzH,affirms,affirms,affirms,affirms,3,"Joe Biden died, or was killed by the establishment, and replaced with a clone at the White House.",Restatement directly asserts the participant’s clone-replacement conspiracy as true.,Restatement directly states the conspiracy claim; rating 100 endorses it.,Rating 100 directly endorses the participant's conspiracy theory about Biden being replaced by a clone.
R_7D1EYXA3GO9DdlL,affirms,affirms,affirms,affirms,3,Facebook monitors users’ search history and uses it to target them with relevant ads.,"Restatement claims Facebook monitors search history to target ads, matching participant’s described conspiracy.",Restatement directly affirms Facebook tracks searches to show targeted ads.,"Rating 100 means agreeing that Facebook uses search history for targeted ads, matching the participant's conspiracy."
R_7GiVunWDF9JKOC2,affirms,affirms,affirms,affirms,3,Climate change is caused by human activities.,Restatement matches participant’s stated claim; 100 indicates full endorsement of that claim.,Restatement directly states the participant's belief; rating 100 endorses it.,The restatement directly asserts the participant's described theory as true.
R_7M5NyDjKxECthbK,affirms,affirms,affirms,affirms,3,Covid was a man-made virus.,"Restatement asserts the man-made origin, matching the participant’s proposed conspiracy; 100 means endorsing it.","Restatement directly asserts the conspiracy: COVID was artificially created, not naturally occurring.","Rating 100 means believing Covid was man-made, which is the conspiracy theory described."
R_7MrK5L0twz20Ydr,affirms,affirms,affirms,affirms,3,The United States government is hiding remnants of alien spacecraft.,"Restatement directly asserts a government cover-up of alien craft remnants, matching the participant’s conspiracy.",Restatement directly asserts the conspiracy: government cover-up of alien spacecraft remnants.,Rating 100 endorses the participant's exact conspiracy theory that the government is covering up alien spacecraft.
R_7Oi7O6FzMIcrVJP,affirms,affirms,affirms,affirms,3,Mrs. Guthrie is not dead and will be found.,Restatement directly asserts the participant’s conspiracy; rating 100 endorses it as true.,Restatement directly matches the participant's belief that Mrs. Guthrie is alive.,The restatement directly asserts the participant's conspiracy theory that Mrs. Guthrie is still alive.
R_7P8aRfAWQ2XfWzE,affirms,affirms,affirms,affirms,3,The government is hiding alien secrets.,Restatement directly asserts the participant’s conspiracy; rating 100 means fully endorsing it.,Restatement directly states the conspiracy as true; 100 = believes it.,"Rating 100 means believing the government hides alien secrets, which directly affirms the participant's conspiracy."
R_7QEj7ESdxDOtlw3,affirms,affirms,affirms,affirms,3,Birds are actually cameras used by the government for surveillance.,"Restatement asserts birds are government cameras, matching the participant’s conspiracy; 100 equals full endorsement.",Restatement directly states the conspiracy: birds are government surveillance cameras.,Rating 100 endorses the participant's exact conspiracy theory that birds are government surveillance cameras.
R_7eIAqnakinKyL6I,affirms,denies,affirms,affirms,3,JFK was shot from the book depository and not from the grassy knoll.,Restatement matches participant’s described claim; 100 endorses that claim.,Participant believes grassy knoll shooter; restatement affirms official account.,The restatement directly affirms the specific theory exactly as the participant described it.
R_7gpYpiinKfPtFyl,denies,denies,denies,denies,3,It is not conclusively established that Lee Harvey Oswald killed JFK; the true circumstances of JFK’s убийство remain uncertain.,Participant expresses uncertainty/inconclusive evidence; restatement asserts the official Oswald-then-Ruby narrative as definitely true.,"Participant doubts official account; restatement affirms official story, so 100 = no conspiracy.","The restatement asserts the official narrative, so rating it 100 denies the conspiracy."
R_7jcOnNEEnh5fxeN,affirms,affirms,affirms,affirms,3,"There was a conspiracy to kill John F. Kennedy, and Lyndon Johnson had the FBI cover it up to avoid admitting his involvement.",Restatement asserts LBJ-involved JFK assassination cover-up; rating 100 means fully endorsing the participant’s conspiracy.,Restatement directly states the conspiracy and LBJ's cover-up role.,The restatement directly asserts the participant's conspiracy theory that LBJ covered up his involvement in JFK's assassination.
R_7laeiUSKtc34NRD,affirms,affirms,affirms,affirms,3,Area 51 is a place where aliens are kept for study.,Restatement directly asserts the participant’s described conspiracy; rating 100 endorses aliens being held at Area 51.,Restatement directly states the conspiracy claim; rating 100 endorses it.,"Rating 100 means believing aliens are kept at Area 51, which directly affirms the participant's conspiracy."
R_7nT8qY1EDfJcJNb,affirms,affirms,affirms,affirms,3,All humans are related through a common ancestry tracing back to Adam and Eve.,"Restatement asserts the Adam-and-Eve common ancestry claim, matching one side of their described theory.",Rating 100 endorses the Adam and Eve common ancestry conspiracy belief.,The restatement clearly affirms the Adam and Eve ancestry belief described by the participant.
R_7nTa3NC2sGyRFkF,affirms,affirms,affirms,affirms,3,The moon landing was faked.,Restatement asserts the moon landing was fake; rating 100 indicates full endorsement of the conspiracy.,Restatement directly asserts the conspiracy; rating 100 means believing it was faked.,"Rating 100 means agreeing the moon landing was faked, which directly affirms the participant's conspiracy."
R_7peM0QrjmMJvLNv,affirms,affirms,affirms,affirms,3,"The government has discovered evidence of aliens and is keeping it secret, but should inform the public for safety reasons.","A 100 rating endorses that the government has evidence of aliens, matching the participant’s claimed conspiracy.",Rating 100 means believing the government found alien evidence and is hiding it.,"Rating 100 means believing the government has found evidence of aliens, affirming the conspiracy."
R_7q9Hrbbrs5PZbcJ,affirms,affirms,affirms,affirms,3,"The government is concealing the fact that Bigfoot exists, and he is very big.",Restatement directly asserts the described conspiracy as true; 100 indicates full endorsement.,Restatement directly states the conspiracy as true; 100 = believes it.,"Rating 100 means believing the government hides Bigfoot, which directly affirms the participant's conspiracy theory."
R_7rHuSuz6D9M6GWA,affirms,affirms,affirms,affirms,3,Powerful pharmaceutical companies are suppressing a cure for cancer to protect their profits from expensive treatments.,Restatement directly asserts the described conspiracy; rating 100 indicates full endorsement.,Restatement directly mirrors the conspiracy claim verbatim; 100 = full belief.,The restatement directly asserts the participant's conspiracy theory that pharma companies are suppressing a cancer cure.
R_7rPpG5xZQED9ifx,affirms,affirms,affirms,affirms,3,The U.S. government was responsible for the controlled demolition of the World Trade Center buildings on September 11th.,Restatement asserts government carried out controlled demolition; rating 100 endorses the participant’s conspiracy.,"Restatement directly asserts government responsibility for 9/11, matching the conspiracy.",Rating 100 endorses the participant's belief that the government executed a controlled demolition on 9/11.
R_7tnxwOtF3jd0MXP,affirms,affirms,affirms,affirms,3,"Secret societies and organizations control governmental positions and leaders, deceiving the public into believing that they are electing their representatives through voting.","Restatement asserts secret societies control leaders and fake democracy, matching the participant’s described conspiracy.",Restatement directly asserts the conspiracy: secret societies control governments while faking democratic elections.,The restatement directly asserts the participant's conspiracy theory as true.
R_7vEu3p3UFrYFrs5,affirms,affirms,affirms,affirms,3,Jared Kushner has actually been running the White House since Trump's first administration.,Restatement asserts Kushner is running the White House; 100 means endorsing the participant’s conspiracy claim.,Restatement directly asserts the conspiracy that Kushner secretly runs the White House.,The restatement directly asserts the participant's conspiracy theory as true.
