"response_id","study","cluster_id","topic"
"R_5k7f39FszldkfvG","S1",21,"Deliberate COVID-19 Lab Release"
"R_7MNKhd0dmEX0ACt","S1",24,"Area 51 Alien Cover-up"
"R_5MA0nvUlRQXt2H0","S1",13,"JFK Assassination Conspiracy"
"R_3fwSgYcaffLkyE9","S1",0,"Mixed / Unclassified"
"R_6lrgjT1s0kmiRaz","S1",0,"Mixed / Unclassified"
"R_7EFGgvtN9S0sFGu","S1",12,"Secret Elite World Control"
"R_3NTk8D4ys5cldg5","S1",0,"Mixed / Unclassified"
"R_1Oe9tvOwbbqE264","S1",0,"Mixed / Unclassified"
"R_7f4Rmf33pkfq94l","S1",0,"Mixed / Unclassified"
"R_7qUSQBGCXrbaXEd","S1",21,"Deliberate COVID-19 Lab Release"
"R_5NysIM0HcZErFTB","S1",21,"Deliberate COVID-19 Lab Release"
"R_5dLxDrI5CswRzpF","S1",13,"JFK Assassination Conspiracy"
"R_3wRmJ9th58aDEOO","S1",0,"Mixed / Unclassified"
"R_7QH0ZGiubXgtJ2s","S1",0,"Mixed / Unclassified"
"R_6P6L4ZMdBja8hwx","S1",9,"Election fraud conspiracy beliefs"
"R_5dHmZiiaHhSu7gz","S1",0,"Mixed / Unclassified"
"R_7lozAUhw9UhNBpN","S1",13,"JFK Assassination Conspiracy"
"R_7sh55GImxjxsvI4","S1",0,"Mixed / Unclassified"
"R_7DZyFhmfO5UF8rU","S1",0,"Mixed / Unclassified"
"R_5rZlJkjmen6gaQN","S1",24,"Area 51 Alien Cover-up"
"R_7jVwJOQQMCewZKx","S1",13,"JFK Assassination Conspiracy"
"R_7I3sXAKUj5duz1Y","S1",13,"JFK Assassination Conspiracy"
"R_5ND4pBwkeOuq6Nz","S1",0,"Mixed / Unclassified"
"R_6rOA9wsfu34X3qG","S1",0,"Mixed / Unclassified"
"R_6fvZ9Agoc4JJL5I","S1",13,"JFK Assassination Conspiracy"
"R_1SzEbKISVIpjcnn","S1",0,"Mixed / Unclassified"
"R_6CfnoDsFQgQ2i6B","S1",3,"Moon Landing Hoax"
"R_65NtwdqU5MVuO9E","S1",0,"Mixed / Unclassified"
"R_3c2sWgrKx8E8ZYq","S1",24,"Area 51 Alien Cover-up"
"R_1Do1t76WMAAWDqC","S1",0,"Mixed / Unclassified"
"R_523whVZq0P2GaSE","S1",13,"JFK Assassination Conspiracy"
"R_7fZe7T4fLvEbHTS","S1",0,"Mixed / Unclassified"
"R_1QKo6MX6ShjfG0R","S1",3,"Moon Landing Hoax"
"R_7b3qWggXRxjV4Hp","S1",18,"Hiding medical cures for profit"
"R_30coENINXcYWbZ9","S1",21,"Deliberate COVID-19 Lab Release"
"R_3mdP3SGieVzLfoA","S1",0,"Mixed / Unclassified"
"R_5fJQgFvZI7wRjkI","S1",0,"Mixed / Unclassified"
"R_50ATXwQyUxgMQMK","S1",13,"JFK Assassination Conspiracy"
"R_3D0FLhtv8RLhd8T","S1",13,"JFK Assassination Conspiracy"
"R_1no9cWKmUi6PoI1","S1",13,"JFK Assassination Conspiracy"
"R_5pRSZsmrh08qz6x","S1",18,"Hiding medical cures for profit"
"R_7rz5J0HEC0iuA9z","S1",21,"Deliberate COVID-19 Lab Release"
"R_3kM4goJwdicZdy8","S1",0,"Mixed / Unclassified"
"R_1U6rf4dQhuF0VIw","S1",0,"Mixed / Unclassified"
"R_7Ttu6By2C1RbXx6","S1",0,"Mixed / Unclassified"
"R_1qysYYa8S4BZ4gh","S1",21,"Deliberate COVID-19 Lab Release"
"R_1FJrGqeLdEHtIjr","S1",0,"Mixed / Unclassified"
"R_7thSlJpXlQkkjoY","S1",13,"JFK Assassination Conspiracy"
"R_1us07xYuYWTMVoC","S1",0,"Mixed / Unclassified"
"R_6CQIcqOTPMnTkzH","S1",0,"Mixed / Unclassified"
"R_6hTHixNYNwmcfp7","S1",21,"Deliberate COVID-19 Lab Release"
"R_6GDpa4H6ENP1h6c","S1",0,"Mixed / Unclassified"
"R_7npcDv2bqNhhB1e","S1",13,"JFK Assassination Conspiracy"
"R_53mK0lL4Fuahh73","S1",0,"Mixed / Unclassified"
"R_5EyRhV6KLvjn5Z6","S1",3,"Moon Landing Hoax"
"R_1dzNeIhK3oUE8Tw","S1",0,"Mixed / Unclassified"
"R_3GcGPtLfHaAYxrz","S1",0,"Mixed / Unclassified"
"R_1Cg8Fwryq9bbDfg","S1",25,"Government alien cover-up"
"R_5hYhr9uYcqm75R2","S1",0,"Mixed / Unclassified"
"R_5HNE3CaIzd8NlTD","S1",24,"Area 51 Alien Cover-up"
"R_3YJKvSt2WGi7hsJ","S1",0,"Mixed / Unclassified"
"R_3Q4sJdz8pvRlIIX","S1",0,"Mixed / Unclassified"
"R_3tygbh4WzSjMMO6","S1",21,"Deliberate COVID-19 Lab Release"
"R_32I7DSDrHlY89lT","S1",0,"Mixed / Unclassified"
"R_3d79HvlJZhycE6t","S1",7,"Trump as Russian Asset"
"R_5jpR9MddC45dTVl","S1",21,"Deliberate COVID-19 Lab Release"
"R_1OZvDq3I6ruTUY3","S1",0,"Mixed / Unclassified"
"R_7M3GDQEVgokXG16","S1",0,"Mixed / Unclassified"
"R_5gQ13zfdKEBOri9","S1",0,"Mixed / Unclassified"
"R_7fXqfuUPNGZ4qFb","S1",0,"Mixed / Unclassified"
"R_7PenImigqgJi4aB","S1",26,"Existence of Alien Life"
"R_3G8wKZrPrEfpoAh","S1",0,"Mixed / Unclassified"
"R_5H5m24ZLe8YSwvC","S1",2,"Staged Trump assassination attempt"
"R_1OqXg4Xv9L0NISQ","S1",0,"Mixed / Unclassified"
"R_54ufuGXWnEPV7SV","S1",0,"Mixed / Unclassified"
"R_5eahIhUeKi52Rdn","S1",0,"Mixed / Unclassified"
"R_3fdmsMpPuc5aVxf","S1",13,"JFK Assassination Conspiracy"
"R_5hZYXGurH6CPXKV","S1",0,"Mixed / Unclassified"
"R_38Hwv5C8KDPgWT7","S1",12,"Secret Elite World Control"
"R_6nTx6F0s9YlE1yn","S1",3,"Moon Landing Hoax"
"R_6R1qfvKDvCksIBb","S1",13,"JFK Assassination Conspiracy"
"R_5OA2k0w6RTZ8OfT","S1",16,"9/11 Inside Job Conspiracy"
"R_1eF57bKjmFByYG4","S1",16,"9/11 Inside Job Conspiracy"
"R_7tJs3uEmERY7q3K","S1",21,"Deliberate COVID-19 Lab Release"
"R_7ClGfkkW3YjbKUG","S1",0,"Mixed / Unclassified"
"R_6t4OrcOxrQLCqUp","S1",25,"Government alien cover-up"
"R_3eb4NP6orIUFL0B","S1",13,"JFK Assassination Conspiracy"
"R_7gd8giCXWAiFWzz","S1",8,"Existence of Bigfoot"
"R_114lKJMd8wvIO6t","S1",0,"Mixed / Unclassified"
"R_1S6xBQ3VqV9Exkn","S1",0,"Mixed / Unclassified"
"R_7AXOGzXncAB4Hdc","S1",25,"Government alien cover-up"
"R_5M0t1UkuxKxy5S3","S1",13,"JFK Assassination Conspiracy"
"R_7n5YHpBa7ucfwHD","S1",3,"Moon Landing Hoax"
"R_7CZYRTBRgHZmblF","S1",0,"Mixed / Unclassified"
"R_1l6TCM0DHqqek8x","S1",21,"Deliberate COVID-19 Lab Release"
"R_1zqn1HE7qK9oEEN","S1",0,"Mixed / Unclassified"
"R_1wFGUPH57WiQzGx","S1",0,"Mixed / Unclassified"
"R_56nHTSWEkKTio0a","S1",2,"Staged Trump assassination attempt"
"R_3k0KoxBNWOmR0OM","S1",0,"Mixed / Unclassified"
"R_3jEdR9oLTvgJvxF","S1",9,"Election fraud conspiracy beliefs"
"R_5LqvzTzTRvYEBiO","S1",0,"Mixed / Unclassified"
"R_5wgimieBEVb6d69","S1",16,"9/11 Inside Job Conspiracy"
"R_1bRUrnWI3tL6VUZ","S1",13,"JFK Assassination Conspiracy"
"R_6dcWqn0Qe8pPUyE","S1",16,"9/11 Inside Job Conspiracy"
"R_71oUkC4WstLqYYe","S1",13,"JFK Assassination Conspiracy"
"R_6SCPRt8cgwlr5RL","S1",0,"Mixed / Unclassified"
"R_6roiQot9WtmxWrL","S1",13,"JFK Assassination Conspiracy"
"R_7kUYqOmQQBPc75f","S1",0,"Mixed / Unclassified"
"R_1Dd8ilC6BECpXUZ","S1",16,"9/11 Inside Job Conspiracy"
"R_7fPOj4zOuml1NVy","S1",0,"Mixed / Unclassified"
"R_5ZHWMBYm3ozSzof","S1",13,"JFK Assassination Conspiracy"
"R_7dGUPzPoJwZhHAP","S1",0,"Mixed / Unclassified"
"R_7TtKOCc1OXMEDtJ","S1",13,"JFK Assassination Conspiracy"
"R_1IS4Pr0b74qdS37","S1",13,"JFK Assassination Conspiracy"
"R_6lXsSWjCapjfi0h","S1",11,"Jeffrey Epstein Death Conspiracies"
"R_6aafK5gBnzlNQKn","S1",0,"Mixed / Unclassified"
"R_6ElQCaIsaJXQr50","S1",0,"Mixed / Unclassified"
"R_7qpW1Pq4YwGlMVl","S1",13,"JFK Assassination Conspiracy"
"R_3VanjYtYT1V5ISh","S1",0,"Mixed / Unclassified"
"R_7NyslmbTN4nwKTX","S1",13,"JFK Assassination Conspiracy"
"R_7wcWMofUPOBxoF0","S1",0,"Mixed / Unclassified"
"R_3QA8UP4WRjqZNbp","S1",3,"Moon Landing Hoax"
"R_39DHoQhlleogltT","S1",0,"Mixed / Unclassified"
"R_6LkSQ1WkUR2na6J","S1",12,"Secret Elite World Control"
"R_7OeFr8ltIcjZRuN","S1",16,"9/11 Inside Job Conspiracy"
"R_64yWfazz2PyUGsx","S1",3,"Moon Landing Hoax"
"R_71oA74phAUC6XTo","S1",21,"Deliberate COVID-19 Lab Release"
"R_6LXv9F4c3TIQKoH","S1",19,"Chemtrail Conspiracy Beliefs"
"R_7mk4LNwbjxFst0B","S1",13,"JFK Assassination Conspiracy"
"R_3tomAp8LangT89D","S1",0,"Mixed / Unclassified"
"R_5RpVlg9WOqRCkxT","S1",0,"Mixed / Unclassified"
"R_7ikkmI60zIQ7yHL","S1",0,"Mixed / Unclassified"
"R_69aOVSh2fUuXP8d","S1",0,"Mixed / Unclassified"
"R_5ritFb7GytarNSa","S1",0,"Mixed / Unclassified"
"R_5wtuUplkkJVWevI","S1",25,"Government alien cover-up"
"R_71RYO4fmIniVEBG","S1",16,"9/11 Inside Job Conspiracy"
"R_6NCxFxMfwJBSARo","S1",0,"Mixed / Unclassified"
"R_1BsPqRTcOf5KQGl","S1",13,"JFK Assassination Conspiracy"
"R_3mF9CPQcobpVlaV","S1",21,"Deliberate COVID-19 Lab Release"
"R_7QDQSrQnCnwAyc1","S1",0,"Mixed / Unclassified"
"R_3d5kyeGkbsa2vxD","S1",3,"Moon Landing Hoax"
"R_7Q6DxRBCFhUcgvc","S1",9,"Election fraud conspiracy beliefs"
"R_65SGAhJQx2S5hyR","S1",25,"Government alien cover-up"
"R_147tDYoizl4DIU9","S1",19,"Chemtrail Conspiracy Beliefs"
"R_3fbjpMuBQb6YrXX","S1",0,"Mixed / Unclassified"
"R_3mf66is9PhUN1E8","S1",25,"Government alien cover-up"
"R_5uTkJTmw42G0hZD","S1",3,"Moon Landing Hoax"
"R_7oqiqJzfiwXMv4E","S1",0,"Mixed / Unclassified"
"R_3ci3UH5DACQBJwK","S1",0,"Mixed / Unclassified"
"R_7jCTVWFuvYVCfYC","S1",0,"Mixed / Unclassified"
"R_3gydeL4KEUIJKz7","S1",0,"Mixed / Unclassified"
"R_7WGwKu2a0jZbyxC","S1",0,"Mixed / Unclassified"
"R_6bupB2cjwAncFbP","S1",21,"Deliberate COVID-19 Lab Release"
"R_7L9keet4ExdKXTj","S1",26,"Existence of Alien Life"
"R_5Q0cX5p7oQKAM7u","S1",25,"Government alien cover-up"
"R_7TNp1LoZF4WIjpj","S1",0,"Mixed / Unclassified"
"R_3aEx3yYPkOsuZZ2","S1",0,"Mixed / Unclassified"
"R_6TILcEQuMmljGZH","S1",0,"Mixed / Unclassified"
"R_6nNKL2poQ5SX5Uf","S1",21,"Deliberate COVID-19 Lab Release"
"R_5CWbfePIFISz68f","S1",0,"Mixed / Unclassified"
"R_58LhMS5Rgkq0wLf","S1",9,"Election fraud conspiracy beliefs"
"R_1fxQMO3wqbh9w9S","S1",0,"Mixed / Unclassified"
"R_6QhsbPh8BF7NV4y","S1",3,"Moon Landing Hoax"
"R_7IhLQTZdwPnsARy","S1",0,"Mixed / Unclassified"
"R_3N2h6aXhnQQ2veB","S1",0,"Mixed / Unclassified"
"R_7zikheislOdam5O","S1",3,"Moon Landing Hoax"
"R_3lgpOAilRkkgkWR","S1",0,"Mixed / Unclassified"
"R_7uTVgYXObG4kyEp","S1",0,"Mixed / Unclassified"
"R_5MlmqWPz7bdSdUN","S1",9,"Election fraud conspiracy beliefs"
"R_3dc9Dq9OwuZY8iw","S1",13,"JFK Assassination Conspiracy"
"R_1h0Gf6VqDnQzhOF","S1",0,"Mixed / Unclassified"
"R_5vct4nshLUJh6Nj","S1",13,"JFK Assassination Conspiracy"
"R_3JbtQyonID3Dsat","S1",16,"9/11 Inside Job Conspiracy"
"R_6Pel1bFoZuYCMLu","S1",3,"Moon Landing Hoax"
"R_1b3tmNFW4YQmIor","S1",25,"Government alien cover-up"
"R_6n9wdzzGXSurTUt","S1",9,"Election fraud conspiracy beliefs"
"R_1DYz35U1zzMnHbB","S1",0,"Mixed / Unclassified"
"R_3fdFi3TDzLUl3hM","S1",8,"Existence of Bigfoot"
"R_7m9sjENzTkuGfUs","S1",13,"JFK Assassination Conspiracy"
"R_7gc3nYBrx2x4i6R","S1",13,"JFK Assassination Conspiracy"
"R_5Y2oscFo6UX32ed","S1",13,"JFK Assassination Conspiracy"
"R_5239MWUjS8ZM51q","S1",3,"Moon Landing Hoax"
"R_6ts9xtkbHgVwkTg","S1",21,"Deliberate COVID-19 Lab Release"
"R_78Zblm4HyYntQE9","S1",0,"Mixed / Unclassified"
"R_3pfqUCtQOXd4N5Y","S1",0,"Mixed / Unclassified"
"R_3rJkSaNiH0wTmXi","S1",0,"Mixed / Unclassified"
"R_7ZDbUwJMIYrsww1","S1",13,"JFK Assassination Conspiracy"
"R_5YtQ3sOYwyj30OP","S1",0,"Mixed / Unclassified"
"R_3zmmeFkkqeSxgdj","S1",0,"Mixed / Unclassified"
"R_6TmBlsnlFKA6tJE","S1",13,"JFK Assassination Conspiracy"
"R_7BreUKZXqdfAjyc","S1",26,"Existence of Alien Life"
"R_65TM6ggViBmZJND","S1",0,"Mixed / Unclassified"
"R_6rpjAMopVHYX20h","S1",3,"Moon Landing Hoax"
"R_1NkharktjKvBsbL","S1",0,"Mixed / Unclassified"
"R_7QPB1Cz56GDCMjT","S1",9,"Election fraud conspiracy beliefs"
"R_3OH2SYAktdLAyr8","S1",0,"Mixed / Unclassified"
"R_5r9tMFSqZE1zm8h","S1",21,"Deliberate COVID-19 Lab Release"
"R_3CBLjJb4S6ywSKO","S1",16,"9/11 Inside Job Conspiracy"
"R_1trNcM1Sq1rekp8","S1",21,"Deliberate COVID-19 Lab Release"
"R_7OMMOernaL5p6Oy","S1",14,"Celebrity death and replacement conspiracies"
"R_1j6ey41YYQOIosP","S1",0,"Mixed / Unclassified"
"R_5talN6DzWbqRrax","S1",0,"Mixed / Unclassified"
"R_51K9CxTqoavtAhr","S1",0,"Mixed / Unclassified"
"R_6hsYNDlvinTbWZ7","S1",13,"JFK Assassination Conspiracy"
"R_7zOctT81jUULC3G","S1",0,"Mixed / Unclassified"
"R_7nWbqNWdDGqYH5X","S1",0,"Mixed / Unclassified"
"R_3dojKFQp3YwBWzc","S1",21,"Deliberate COVID-19 Lab Release"
"R_7jUutcosMxZxyMl","S1",0,"Mixed / Unclassified"
"R_7H2hW2YYtFkDMUX","S1",13,"JFK Assassination Conspiracy"
"R_3GCVrSOb38G6q6f","S1",25,"Government alien cover-up"
"R_5VD61Gj16wRx3Kp","S1",21,"Deliberate COVID-19 Lab Release"
"R_7myIhgOI4D3cE8a","S1",0,"Mixed / Unclassified"
"R_5Vl5koKsbSC8Q5i","S1",0,"Mixed / Unclassified"
"R_3P1TBJ6uBhayhrk","S1",0,"Mixed / Unclassified"
"R_3ho76LOQZpXWhSO","S1",0,"Mixed / Unclassified"
"R_3byFF8M8RGAh3MJ","S1",0,"Mixed / Unclassified"
"R_5NCfbRS65rI5qLD","S1",0,"Mixed / Unclassified"
"R_6rUX7J4JjjYjMes","S1",21,"Deliberate COVID-19 Lab Release"
"R_5if76jXBBIIHXsR","S1",0,"Mixed / Unclassified"
"R_1n1LQQTKY5CN2rz","S1",24,"Area 51 Alien Cover-up"
"R_5oTMJfdwl9qgXXB","S1",3,"Moon Landing Hoax"
"R_1qh8qWryNU1P7TX","S1",0,"Mixed / Unclassified"
"R_6JcF8u7Ccyi37Md","S1",12,"Secret Elite World Control"
"R_3czpw4j8bEoBp8B","S1",0,"Mixed / Unclassified"
"R_5jVieNCDXk6Gmt1","S1",24,"Area 51 Alien Cover-up"
"R_5R9t4XmrQbkV0SV","S1",0,"Mixed / Unclassified"
"R_594Sy8gKlgYwk9j","S1",18,"Hiding medical cures for profit"
"R_5dQyNSZwDMRCrhw","S1",13,"JFK Assassination Conspiracy"
"R_1CEjcXtVS2KdLaN","S1",14,"Celebrity death and replacement conspiracies"
"R_3SBwVhSYkEEBziW","S1",0,"Mixed / Unclassified"
"R_3HvNKXE29csHe3K","S1",0,"Mixed / Unclassified"
"R_511pFwobiIcXj33","S1",13,"JFK Assassination Conspiracy"
"R_3CeVOdk6mkeRBrj","S1",12,"Secret Elite World Control"
"R_3BXWlDNkMcrulsu","S1",21,"Deliberate COVID-19 Lab Release"
"R_7lyUhPBoKw0yAGZ","S1",14,"Celebrity death and replacement conspiracies"
"R_3KoNIy2bVffVhlM","S1",7,"Trump as Russian Asset"
"R_6tkZ5njtXMBRZYJ","S1",16,"9/11 Inside Job Conspiracy"
"R_6QsSsc8f9n5SQRy","S1",0,"Mixed / Unclassified"
"R_7hPTla8Lqrjkx3c","S1",11,"Jeffrey Epstein Death Conspiracies"
"R_7vYbzPpZOi94DQJ","S1",21,"Deliberate COVID-19 Lab Release"
"R_5QgB2BM4iN11g6j","S1",0,"Mixed / Unclassified"
"R_1Nh0Zl1pt9p1oKN","S1",18,"Hiding medical cures for profit"
"R_3orAbJHLtCsPzZn","S1",0,"Mixed / Unclassified"
"R_7rxGwxDaWxRIhDW","S1",13,"JFK Assassination Conspiracy"
"R_67NJ0DsY98B9bkd","S1",0,"Mixed / Unclassified"
"R_5G3awGEyGZUqKmf","S1",0,"Mixed / Unclassified"
"R_3DT8JLGQWTR7jkp","S1",21,"Deliberate COVID-19 Lab Release"
"R_7EicZlpwYOAHtg2","S1",0,"Mixed / Unclassified"
"R_5t8jIbktZuZJXdn","S1",0,"Mixed / Unclassified"
"R_3EgT2u4ejI0PGSd","S1",0,"Mixed / Unclassified"
"R_7ne1SZ3EbU1cTgZ","S1",13,"JFK Assassination Conspiracy"
"R_62PKEcEbrJcL6x8","S1",21,"Deliberate COVID-19 Lab Release"
"R_5JEeFvALmOp3QUQ","S1",19,"Chemtrail Conspiracy Beliefs"
"R_1EuVRaVGGqMXQHq","S1",0,"Mixed / Unclassified"
"R_6cULxPQEgPB9Cin","S1",16,"9/11 Inside Job Conspiracy"
"R_72P73Ga8VHklKbY","S1",9,"Election fraud conspiracy beliefs"
"R_7GPrcOCPzBC0L7s","S1",13,"JFK Assassination Conspiracy"
"R_6QnNQIZnkScJnWh","S1",20,"Vaccine harms and conspiracies"
"R_57rlxIAXv7YYhcB","S1",0,"Mixed / Unclassified"
"R_6rpUlI1C6axkWru","S1",0,"Mixed / Unclassified"
"R_33NPUBFwcD3gruh","S1",25,"Government alien cover-up"
"R_3wNf2afp1WqdLpg","S1",13,"JFK Assassination Conspiracy"
"R_1H2nq1JYnveWZrZ","S1",0,"Mixed / Unclassified"
"R_5PuruYmmm4oHnRU","S1",8,"Existence of Bigfoot"
"R_6oF4SvNur6ZRbAj","S1",0,"Mixed / Unclassified"
"R_1hAwTHv01ZjC6wa","S1",0,"Mixed / Unclassified"
"R_3lhsJTPhI7EB98a","S1",0,"Mixed / Unclassified"
"R_52x1slUY4AZi2Zt","S1",0,"Mixed / Unclassified"
"R_60pMyoKhhuj7QBD","S1",21,"Deliberate COVID-19 Lab Release"
"R_572SHn2JFJfboRN","S1",13,"JFK Assassination Conspiracy"
"R_5qbm6PhKvrgeCgF","S1",0,"Mixed / Unclassified"
"R_3lXEYdTYjvBkQtH","S1",0,"Mixed / Unclassified"
"R_6MVPY7iRP0lQ2fp","S1",0,"Mixed / Unclassified"
"R_3JOYrlFgCzucwJW","S1",13,"JFK Assassination Conspiracy"
"R_5ByONyztfuR2hCg","S1",13,"JFK Assassination Conspiracy"
"R_7Na6fsxIfiPlXUd","S1",2,"Staged Trump assassination attempt"
"R_7EYzbF04XOaPZ6m","S1",0,"Mixed / Unclassified"
"R_7bVv129eXSUEfJV","S1",0,"Mixed / Unclassified"
"R_3D74akafGmYGkVM","S1",13,"JFK Assassination Conspiracy"
"R_1KqJljiznaGfw4j","S1",13,"JFK Assassination Conspiracy"
"R_6D6omkIiHQHKa1V","S1",0,"Mixed / Unclassified"
"R_3rPsmk6SXiUqR42","S1",9,"Election fraud conspiracy beliefs"
"R_1qVgzlLXPaWixtO","S1",0,"Mixed / Unclassified"
"R_3e0L4xIhO3Yes93","S1",0,"Mixed / Unclassified"
"R_1QgOF6PPCMmKXvs","S1",0,"Mixed / Unclassified"
"R_7rdACD81P2sh7QG","S1",12,"Secret Elite World Control"
"R_62JyXA2HghWDhGo","S1",0,"Mixed / Unclassified"
"R_6hH2xOBlJPXH0s2","S1",16,"9/11 Inside Job Conspiracy"
"R_1ixybWeulacIWyd","S1",0,"Mixed / Unclassified"
"R_1rmLVunEyULCvfP","S1",3,"Moon Landing Hoax"
"R_5Re8VwbxQyog5Gh","S1",0,"Mixed / Unclassified"
"R_60pdp9Wl25RSZf5","S1",0,"Mixed / Unclassified"
"R_6btUvp9GB3S0HDP","S1",0,"Mixed / Unclassified"
"R_5PtAQNkRktZkMtv","S1",26,"Existence of Alien Life"
"R_1gFu4LZdlpulrTd","S1",0,"Mixed / Unclassified"
"R_3vlb8SeGWiPwsj0","S1",0,"Mixed / Unclassified"
"R_5Qqohzyueh8TOQ9","S1",0,"Mixed / Unclassified"
"R_72of9mUYvpVFi8V","S1",13,"JFK Assassination Conspiracy"
"R_5LwK0SmBVLj5m7A","S1",13,"JFK Assassination Conspiracy"
"R_3z8PmnaJf8e9r0t","S1",12,"Secret Elite World Control"
"R_5jSZpvYchZYWWVr","S1",0,"Mixed / Unclassified"
"R_7iBwIqT1Je4kLhn","S1",25,"Government alien cover-up"
"R_7rAWog6AYPfPlKy","S1",0,"Mixed / Unclassified"
"R_6V1otg970dbJv5A","S1",21,"Deliberate COVID-19 Lab Release"
"R_3soJe3hcNwA67Tm","S1",3,"Moon Landing Hoax"
"R_13eK2JPnkPV1SNP","S1",26,"Existence of Alien Life"
"R_7XiA99dbSQ6jMLD","S1",0,"Mixed / Unclassified"
"R_3xz1PTQqRSjM45B","S1",25,"Government alien cover-up"
"R_1YYCDw3Rr8RPks6","S1",0,"Mixed / Unclassified"
"R_7AXZ0NycFsuCceH","S1",0,"Mixed / Unclassified"
"R_5zHZ0ULBgf8kek1","S1",9,"Election fraud conspiracy beliefs"
"R_5U0twuuQPuFEEHT","S1",2,"Staged Trump assassination attempt"
"R_7nUFhMReDdtMPz6","S1",0,"Mixed / Unclassified"
"R_71XkOg0ME8gucnI","S1",0,"Mixed / Unclassified"
"R_3EIk5vBmTFIE11L","S1",0,"Mixed / Unclassified"
"R_7isAWYnPGqFL86e","S1",13,"JFK Assassination Conspiracy"
"R_7q3BDHdeNPV0iX4","S1",0,"Mixed / Unclassified"
