cluster_id,rank,exemplar
3,21,"The moon landing, including Neil Armstrong's statements, was staged and not an actual event on the moon's surface."
3,22,The first moon landing was faked and filmed on a set on Earth.
3,23,"The Apollo moon landing was staged by NASA and the U.S. government, and astronauts never actually walked on the moon."
3,24,"The 1969 moon landing was faked by the US government, and astronauts never actually set foot on the moon."
3,25,The first moon landing was staged and no one actually went to the moon.
3,26,"Man never landed on the moon, and the photos of the moon landing are faked."
3,27,The moon landing was faked and was filmed in a Hollywood studio.
3,28,The moon landing was a hoax and was filmed in a studio on Earth.
3,29,The moon landing in the 1960s was staged and not a real landing.
3,30,The moon landing was faked by the United States to win the space race.
6,1,AI is going to take over the job of everyone on the planet.
6,2,Artificial intelligence will replace humans in the future.
6,3,AI will take over the world and make autonomous decisions.
6,4,AI will replace all human jobs and interactions.
6,5,Robotics are set to take over the human population and run the world.
6,6,AI will completely replace human jobs in the next few years.
6,7,"AI will take over the world by being used in all our homes and potentially implanted in people, as evidenced by Elon Musk's development of a brain chip for AI control."
6,8,AI is getting intelligent enough to destroy the human race.
6,9,"AI will take over human nature and replace mankind, leaving only robots and AI on Earth."
6,10,AI is going to replace humans and take over the world.
6,11,Artificial Intelligence will become so intelligent that it will take over and possibly cause the annihilation of humanity.
6,12,AI will take over the whole world.
6,13,"Most of the content on the internet, including social interactions, is created by bots or AI."
6,14,AI will end humanity.
6,15,"The Dead Internet Theory asserts that most internet traffic, content, and social media engagement is dominated by AI-generated material and bot activity, with genuine human interaction being in the minority."
6,16,"AI will eventually overpower humans, colonize them, and become the more evolved form of humanity."
6,17,AI will take over the world and it will mark the beginning of the end for all of salvation.
6,18,"Most of the internet is operated by artificial intelligence and chatbots, which create the majority of online activities and content to generate advertising revenue."
6,19,"The internet ""died"" around 2016 or 2017, and most, if not all, ""users"" have been replaced by AI."
6,20,AI is going to take over the earth.
6,21,The internet has been largely taken over by automated content and is no longer primarily driven by human interaction since 2021.
6,22,The internet consists mostly of bots rather than real human users.
6,23,Many of the active users on the internet are actually bots and not humans.
6,24,"The internet is dominated by AI-generated content that manipulates public opinion, steers consumer behavior, and distracts populations with artificial trends and controversies."
6,25,We are living in a simulation due to the unrealistically fast progress in technology.
6,26,"A significant amount of information is generated by AI without people's awareness, and highly realistic appearances may actually be AI-generated."
7,1,President Trump became a Russian asset in the 1980s and is now controlled by Putin.
7,2,Vladimir Putin is controlling the US.
7,3,President Trump is a ploy of the Russian President.
7,4,"Donald Trump is a bona fide spy and agent for Russia, specifically under the influence of Vladimir Putin."
7,5,Donald Trump is working with Putin.
7,6,"Donald Trump is a spy for Russia and is friends with Vladimir Putin, consistently siding with him."
7,7,Trump is a tool of the Russian government and is controlled by Putin.
7,8,President Trump's actions are being controlled by Putin.
7,9,Trump has colluded with Russia in U.S. elections and is involved in accepting gifts and communicating with Putin.
7,10,Donald Trump is a Russian agent put in the presidency by Russian interference with the U.S. election process and is acting to favor Russia over former allies and friends.
7,11,Donald Trump is currently a Russian asset.
7,12,"Donald Trump is an agent for Russia, having been recruited years ago as part of Russia's attempt to learn more about US businesses."
7,13,Putin has control over Trump and is using that control to undermine democracy and U.S. world leadership.
7,14,President Trump is a Russian intelligence agent.
7,15,Russia is manipulating America's current administration.
7,16,"The current president and his wife have been Russian assets for decades, compromising national security and aligning with enemies of the United States."
7,17,Russia has been blackmailing Donald Trump to act in their interest.
7,18,President Trump has long-term secret ties to Russia.
7,19,"Donald Trump, the President of the United States, is secretly a Russian agent with ties to the Russian government."
7,20,The president is actually an ally of Putin.
7,21,"Donald Trump is collaborating with Vladimir Putin to weaken the United States from within by making strategic decisions that align with Russian interests, including appointing Tulsi Gabbard, a known Russian sympathizer, to a significant intelligence position and publicly supporting Putin during the Ukraine conflict."
7,22,The President is controlled by the Russian dictator and has been cultivated as a Russian asset for many years.
7,23,Trump was a Russian operative in earlier years.
7,24,"Donald Trump owes a significant amount of money to Vladimir Putin, which influences his international affairs approach to favor the Russian leader."
7,25,"Russia, under Putin's leadership, initiated and supports Donald Trump's political career to undermine the United States and establish Russia as a dominant world leader."
7,26,"Trump colluded with the Russians in the 2016 election and continues to maintain connections with Putin and autocratic regimes, which is evident from the phone calls between him and Putin and his reluctance to acknowledge Putin's true nature."
7,27,Stephen Miller is secretly controlling Donald Trump with the aim of transforming the United States into a fascist dictatorship.
7,28,The Russian government is controlling the Republican party through financial means or threats.
7,29,"Donald Trump has interests in Russia, which is why he is trying to change the American perspective to view Putin as trustworthy."
7,30,Donald Trump is deliberately damaging US politics to install a different form of government.
8,1,Cryptids like Bigfoot exist.
8,2,Bigfoot is a real creature that has been sighted by people.
8,3,Big Foot exists.
8,4,Bigfoot is real and there is photographic evidence of his existence.
8,5,Bigfoot is real and there have been sightings and pictures to support its existence.
8,6,Bigfoot exists.
8,7,"Bigfoot is a real creature, evidenced by sightings and photographs."
8,8,"Bigfoot is real, as evidenced by numerous footprints suggesting its existence."
8,9,"Bigfoot exists and evidence, including pictures and eyewitness accounts, supports this."
8,10,"Bigfoot is a real creature, evidenced by reports of large footprints and blurry videos of tall furry beings in the woods."
8,11,Bigfoot is real.
8,12,"Bigfoot is a real creature, as evidenced by videos, footprints, and hair samples."
8,13,Bigfoot is real and roams the woods of North Carolina.
8,14,"Bigfoot exists, supported by numerous videos and photo evidence."
8,15,Bigfoot exists in the woods.
8,16,"Bigfoot exists and has been spotted, with evidence including footprints, pictures, and video footage."
8,17,"Bigfoot exists, as many people have claimed to have seen evidence and shared their experiences over the years."
8,18,Bigfoot is a missing link in human evolution or a new species of man.
8,19,"Bigfoot exists and has been spotted in the woods of national parks, with sightings, footprints, and video evidence supporting this."
8,20,Bigfoot exists and may be hiding in remote areas where undiscovered species are often found.
8,21,"Bigfoot exists, but no one can capture a clear image of him."
8,22,Bigfoot exists and is able to evade detection by hiding in the dense forests where few people can go.
8,23,"Bigfoot exists, as it has not been disproven."
8,24,"Sasquatch, a lost primate, is really living in certain remote parts of the world and has successfully evaded capture by humans."
8,25,Bigfoots are living among us in the forests.
8,26,Bigfoot is real and he is still out there.
8,27,"Bigfoot is a real creature that inhabits various regions, including the Pacific Northwest, and is sometimes captured in photographs, with an unexplained number of disappearances in national parks supporting its existence."
8,28,Bigfoot exists and is an interdimensional being.
8,29,Bigfoot is most likely located in the Appalachian Mountains.
8,30,Bigfoot is a missing link in human evolution.
9,1,The 2024 elections were stolen from the presidency through the theft of mailed-in ballots.
9,2,The 2025 election was tampered with to help Trump win.
9,3,The presidential vote was rigged in 2024.
9,4,The 2024 elections were manipulated.
9,5,The 2020 Presidential election was rigged to ensure Joe Biden's victory over Donald Trump.
9,6,The Democratic Party stole the 2020 presidential election by fabricating votes for Joe Biden.
9,7,"The recent Presidential elections were not accurately counted, and Kamala Harris actually won."
9,8,"The 2016 presidential elections were tampered with, including votes being made up or discarded."
9,9,The presidential election involving Biden and Trump was rigged.
9,10,The Democrats stole the 2020 election for Biden.
9,11,The 2020 general elections were fixed.
9,12,Joe Biden did not genuinely win the 2020 Presidential Election as the Democrats cheated to prevent Donald Trump from actually winning.
9,13,The 2020 election was stolen by the Democratic Party.
9,14,"The 2020 Presidential Election was rigged against Donald Trump, with changes to voting laws in certain states like Pennsylvania during the election."
9,15,The voting machines in the 2020 election were manipulated.
9,16,The 2020 election was manipulated to elect Biden.
9,17,The votes were rigged when Joe Biden won the election in 2020.
9,18,The Democratic Party used voter fraud to win the 2020 elections.
9,19,The presidential election in 2020 was fixed for the Democrat to win.
9,20,The 2024 election was manipulated to re-elect Donald Trump.
9,21,The 2020 election was stolen from Donald Trump.
9,22,Some states manipulated the voting process by discarding votes for Trump and allowing deceased individuals to vote.
9,23,"The 2020 election was lost by Trump due to Joe Biden's cheating, involving a recount of votes and additional mail-in votes created using pseudonyms."
9,24,The 2020 presidential election was rigged.
9,25,The 2020 election was stolen.
9,26,The 2020 election was taken from Trump due to false counts.
9,27,"The 2020 Presidential election was tampered with, effectively giving the election to Joe Biden."
9,28,The 2020 presidential election was stolen from Donald Trump due to fraud.
9,29,"The 2020 elections were falsely counted, resulting in Joe Biden winning when in fact, President Trump was the rightful winner."
9,30,Biden won the 2020 election by fraud through discrepancies caused by sending votes by mail.
11,1,Jeffrey Epstein was murdered in jail instead of committing suicide.
11,2,The main woman involved in the Epstein controversy was murdered by powerful interests and did not commit suicide.
11,3,Jeffrey Epstein was murdered in prison to protect other people and their crimes.
11,4,Jeffrey Epstein was murdered by someone who wanted to keep him quiet.
11,5,Jeffrey Epstein did not commit suicide but was allowed to die by those who should have prevented his death.
11,6,Jeffrey Epstein was murdered rather than committing suicide.
11,7,Jeffrey Epstein killed himself with the complicity of the prison guards who let it happen.
11,8,Jeffrey Epstein was murdered in jail and did not commit suicide as stated by the coroner.
11,9,Jeffrey Epstein was murdered by someone high up.
11,10,Jeffrey Epstein was killed and did not commit suicide.
11,11,Jeffrey Epstein's files indicate that his death was a cover-up for something else.
11,12,Jeffrey Epstein was killed by someone on the inside to prevent him from revealing the involvement of other powerful people.
11,13,Jeffrey Epstein was murdered in his cell.
11,14,Jeffrey Epstein was killed by someone in a well-planned manner rather than committing suicide.
11,15,Jeffrey Epstein did not die by suicide.
11,16,Jeffrey Epstein did not commit suicide while in police custody.
11,17,Jeffrey Epstein's death was not a suicide; he was killed by someone who wanted to cover their involvement in his illegal activities.
11,18,Jeffrey Epstein did not kill himself because his death was convenient to many rich and powerful people who would benefit from suppressing his knowledge and records.
11,19,Jeffrey Epstein is still alive and his suicide was faked.
11,20,Bill and Hillary Clinton were behind the murder of Epstein.
11,21,Jeffrey Epstein was killed in his cell.
11,22,"Epstein was killed and did not die by suicide, with powerful and influential individuals connected to him having a motive to ensure his silence."
11,23,Jeffrey Epstein did not kill himself.
11,24,Hillary Clinton was involved in the death of Epstein to prevent him from exposing her involvement in his affairs.
11,25,"Jeffrey Epstein did not commit suicide but was murdered in jail due to his connections to powerful figures and the suspicious circumstances surrounding his death, including malfunctioning security cameras, sleeping guards, and autopsy results inconsistent with suicide."
11,26,Jeffrey Epstein committed suicide.
11,27,Jeffrey Epstein is still alive and posting online to mock us all.
11,28,"Epstein was murdered because he had incriminating information on wealthy individuals who wanted him dead, and the circumstances of his death, including the timely camera malfunction and rapid investigation, support this conclusion."
11,29,Celebrity deaths are connected to their refusal to cooperate with or quitting behaviors related to the Epstein files.
11,30,"Jeffrey Epstein's death was a coverup, and he is still alive in hiding due to having powerful knowledge and potentially making a deal."
12,1,A small elite cabal is actually controlling world events.
12,2,Elites secretly control world events and decisions.
12,3,"A secret elite controls world events, governments, and economies."
12,4,"The world is run by a few elite leaders, and our elected officials are merely their puppets."
12,5,A secret cabal of wealthy individuals is truly running the world.
12,6,A small group of people control the world's major events and policies.
12,7,A small group of families known as the Illuminati controls the world.
12,8,A secret elite group controls world events and governments.
12,9,The world is controlled by a small group of people who influence national and world policy from behind the scenes.
12,10,"A secret group of elites controls world governments and major events to maintain power and wealth, manipulating economies, media, and societies behind the scenes."
12,11,Global elites secretly control world events through organizations like the Bilderberg group.
12,12,"A secretive elite group controls major world governments and financial institutions, deliberately shaping global events to maintain their power and influence over humanity."
12,13,"A secret global cabal of powerful individuals manipulates world events, including economies and governments."
12,14,There is a society of wealthy and powerful individuals who run the country.
12,15,Global elites secretly control world events through private meetings.
12,16,A cabal of very wealthy people are manipulating the world economy.
12,17,"This country is actually controlled by a select few elite families, not by the government."
12,18,"The Illuminati control major political issues and figures, manipulating events behind the scenes and directing governments' actions."
12,19,Thirteen families control the world and the Illuminati have a stranglehold on the global economy.
12,20,A deep state organization is controlled by the richest individuals in the world.
12,21,"A group of elites secretly controls everything, possibly through an organization like the Illuminati."
12,22,A small group of elites controls most world events.
12,23,A small group of very rich individuals controls everything in the world.
12,24,There is a global cabal that is trying to run the governments of the world.
12,25,"A select group of people, known as the Illuminati, run the world."
12,26,"A secret group known as the Illuminati controls world governments and major events from behind the scenes, shaping global outcomes without public knowledge."
12,27,"A secret group of elites, known as The 'New World Order,' is orchestrating a single global government by manipulating world events, economies, and media to exert control over all nations."
12,28,A small number of really powerful people make all the decisions and all politicians are just their puppets.
12,29,"A secret society is ruling our world and making decisions to maintain their power, which negatively impacts ordinary people."
12,30,"A secret group of elites, known as the ""Illuminati,"" controls world events behind the scenes."
13,1,JFK was killed by agents and not by Lee Harvey Oswald.
13,2,The JFK assassination was part of an organized effort.
13,3,The assassination of President Kennedy was a planned event and not the act of a random individual.
13,4,Kennedy was killed by government factions rather than by an individual acting alone.
13,5,The assassination of JFK involved a conspiracy.
13,6,"John F. Kennedy's assassination was orchestrated by an organization, possibly the CIA or the mafia."
13,7,The assassination of John F. Kennedy was a planned attack involving some political office holders.
13,8,President Kennedy was assassinated by a group of people using Oswald as the hitman.
13,9,JFK was not actually killed by Lee Harvey Oswald.
13,10,JFK was actually killed by a conspiracy.
13,11,John F. Kennedy was killed by a group effort between American political interests and the mafia.
13,12,Members of the inner circle were definitely involved in the killing of John F. Kennedy.
13,13,Lyndon B. Johnson was involved in JFK's assassination.
13,14,"President Kennedy was killed by more than one gunman, potentially including involvement from the CIA."
13,15,JFK's assassination was a conspiracy and not the act of a lone gunman.
13,16,The Kennedy assassination was not solely committed by Oswald as a lone gunman.
13,17,"JFK was assassinated by others in the government who disagreed with him, not by Lee Oswald, who was killed to keep him quiet, as evidenced by the latest videos of the president's assassination."
13,18,"The Kennedy assassination was orchestrated by the mob, who subsequently eliminated Jack Ruby."
13,19,"The death of JFK was planned from the inside, using Oswald as a cover-up."
13,20,"The killing of JFK was orchestrated by multiple people, including foreign governments and US agencies."
13,21,John F. Kennedy was not killed by the officially stated perpetrator.
13,22,"John F. Kennedy was assassinated by either a lone gunman, the CIA, the Mafia, or the Vice President."
13,23,Lyndon Johnson was responsible for the assassination of JFK.
13,24,Lee Harvey Oswald was part of a broader conspiracy to assassinate JFK and prevent him from being re-elected.
13,25,The JFK assassination was orchestrated by the FBI and other top government officials.
13,26,"JFK was killed by the mafia for his actions in many areas, and the killer was not acting alone."
13,27,The Kennedy assassinations were orchestrated by a government agency.
13,28,JFK was assassinated by the KGB and not by Oswald.
13,29,JFK was murdered by members of the United States because of his beliefs.
13,30,The assassination of President Kennedy was ordered or carried out by an organization.
14,1,2 Pac is alive and has been appearing in recent videos and photos.
14,2,Elvis Presley is still alive and has assumed a new identity.
14,3,Tupac is still alive and is hiding in the United States.
14,4,Michael Jackson is still alive and was seen getting out of the ambulance that transported him at the time of his alleged death and was also seen at his funeral.
14,5,Elvis is alive and has been sighted multiple times.
14,6,Elvis Presley is secretly alive.
14,7,Paul McCartney actually died in 1966 and was replaced with a look-alike.
14,8,Michael Jackson is not actually dead.
14,9,Dave Chappelle was killed and replaced by a look-alike or a clone.
14,10,Princess Diana really did not die and instead faked her own death.
14,11,Tupac Shakur is still alive.
14,12,Elvis Presley is really alive and just made it look like he died to escape the spotlight and lack of privacy.
14,13,Avril Lavigne passed away and has been replaced by an exact look-a-like.
14,14,"Elvis Presley is still alive, and it was actually his twin brother who died, while a DNA test confirmed this man's identity as Elvis after he was placed in a psych ward."
14,15,Elvis Presley faked his death and carefully prepared evidence to suggest otherwise.
14,16,Elvis is still alive and hiding from the mob.
14,17,Elvis is still alive.
14,18,Elvis Presley is still alive.
14,19,Selena Gomez is a clone and the real Selena died in 2018.
14,20,Avril Lavigne died in the early 2000s and was replaced by a body double who learned to sing and act like her.
14,21,"Avril Lavigne was replaced by her friend after she died, as evidenced by changes in bone structure observed in pictures over the years."
14,22,Certain popular celebrities are clones.
14,23,"Celebrities are cloned to maintain their youthful appearance, which is why they don't age as quickly as others."
14,24,NA
16,1,9/11 was a government action rather than a terrorist attack.
16,2,"The United States orchestrated the 9/11 attacks on themselves, including the demolition of Building 7 by the government."
16,3,The U.S. government orchestrated the events of 9/11 and used controlled demolitions to bring down the towers in order to justify starting a war.
16,4,The Twin Towers were deliberately demolished by the government to initiate a war.
16,5,The events of 9/11 were orchestrated by the American government as a pretext to attack the Middle East.
16,6,The 9/11 incident was orchestrated from within the United States government to enable President Bush Jr. to invade Afghanistan.
16,7,The US government orchestrated the destruction of the World Trade Center and blamed it on terrorists.
16,8,9/11 was orchestrated by the government as a pretext to go to war with Iraq.
16,9,"The U.S. government orchestrated the terrorist attacks of 9/11/2001, with Building 7 showing signs of a controlled demolition."
16,10,The 9/11 attacks were orchestrated from within the United States government.
16,11,The 9/11 attacks were a controlled demolition orchestrated by elements of the U.S. government to justify war and expand surveillance powers.
16,12,The 9/11 attacks were orchestrated and carried out by the United States government.
16,13,The 9/11 attacks were orchestrated and planned as an inside job by individuals within the government to create a justification for going to war.
16,14,The 9/11 incident was orchestrated by the government from within.
16,15,"9/11 was allowed to happen by the U.S. government, which deliberately chose not to prevent it."
16,16,9/11 was orchestrated by the United States government.
16,17,9/11 was orchestrated as an inside job by the government.
16,18,"The September 11th, 2001 terrorist airplane attacks were an inside job by the government."
16,19,9/11 was orchestrated by the US government as a pretext to invade Iraq.
16,20,The US government orchestrated 9/11 to gain public support for invading Iraq.
16,21,The September 11th attacks were orchestrated by the U.S. government.
16,22,9/11 was orchestrated by the government to rally American support for a war.
16,23,"9/11 was orchestrated by certain individuals in the U.S. government as a pretext to go to war in Iraq and Afghanistan, with the official story of Osama Bin Laden and Middle Eastern terrorists being a false flag operation."
16,24,9/11 was orchestrated by the U.S. government to instill fear and gain control.
16,25,The US government orchestrated the 9/11 attacks and the towers collapsed because they were imploded.
16,26,The US government orchestrated the 9/11 attacks as an inside job.
16,27,"The US government was involved in 9/11, knowing about the events and actively helping to plan them."
16,28,The U.S. government planned and orchestrated the 9/11 attacks to initiate a war.
16,29,"The U.S. government orchestrated the 9/11 attacks, not terrorists."
16,30,The September 11 attacks were an inside job orchestrated by the government.
18,1,Medical cures and treatments are intentionally withheld to maintain the economic profitability of diseases for the health industry.
18,2,The pharmaceutical industry suppresses cures for major diseases to maintain profits.
18,3,"Big Pharma is deliberately holding back a ""cure-all"" pill to profit more from selling multiple drugs for various ailments."
18,4,The cure for cancer is being kept hidden to benefit pharmaceutical companies and their affiliates financially.
18,5,Large companies are deliberately delaying real breakthroughs in cancer treatment to maintain drug profits.
18,6,Big pharmaceutical companies are hiding treatments or cures to maximize their profits.
18,7,"The pharmaceutical industry is suppressing natural, affordable cures for chronic diseases to protect the profits of prescription medications."
18,8,Powerful organizations are suppressing cures for certain diseases to maintain profits from medical bills.
18,9,Major pharmaceutical companies and government agencies have suppressed natural or alternative cures for serious diseases like cancer to maintain profits from long-term treatments.
18,10,"The cure for cancer exists, but it is withheld because it is more profitable to treat the illness over time."
18,11,Powerful pharmaceutical companies are suppressing advanced treatments or cures for major diseases because they profit more from keeping patients sick.
18,12,Science is suppressing a cure for cancer to protect the profits generated from ongoing treatments.
18,13,Large pharmaceutical companies hide possible cures from the public to maintain high profits.
18,14,"A cure for cancer exists, but it is withheld because treating cancer is more profitable than curing it."
18,15,Cures for common ailments like cancer or diabetes exist but are not being utilized because the healthcare industry profits from ongoing treatments.
18,16,Pharmaceutical companies suppress natural cures to maintain profit from medications.
18,17,Pharmaceutical companies are deliberately suppressing natural cures for major diseases to protect their financial interests.
18,18,Pharmaceutical companies have developed better medicines for eradicating major diseases but keep them hidden for financial and research gains.
18,19,Pharmaceutical companies and a small group of powerful individuals have suppressed effective early treatments or cures for cancer to protect long-term profits from ongoing treatment.
18,20,Pharmaceutical companies suppress cures for diseases like cancer to maintain profit.
18,21,"The pharmaceutical industry and major health organizations are deliberately suppressing a proven, natural cure for cancer to protect profits from expensive treatments and drugs."
18,22,"There is an available cure for cancer, but it is being withheld to maintain the profits from cancer treatments."
18,23,Pharmaceutical companies are suppressing the cure for cancer.
18,24,Drug companies have developed products or cures for diseases like cancer and diabetes but have suppressed the information to protect their profit margins and sustainability.
18,25,A cure for cancer exists but is not being released because it would significantly reduce profits for the medical industry.
18,26,"There is a cure for many diseases, but pharmaceutical companies suppress it to protect their profits."
18,27,"Powerful pharmaceutical companies and medical groups are suppressing a simple, low-cost cure for cancer to maintain profits from expensive treatments and chemotherapy."
18,28,"Pharmaceutical companies are intentionally suppressing natural, low-cost cures for common diseases to maintain profits from expensive medications and treatments."
18,29,"There is a cure for cancer, but it is concealed because it is bad for the financial interests of big pharmaceutical companies."
18,30,Big Pharma hides cures for common diseases.
19,1,"The trails which emanate from jets are actually chemicals being released by the government for purposes such as mind control, spreading germs, or controlling the weather."
19,2,Jets release chemtrails that harm and test humans.
19,3,The government is dispersing harmful substances from aircraft exhaust into the air to harm the population.
19,4,The government is seeding clouds and poisoning people through chemtrails in the air.
19,5,Contrails left by high-flying aircraft contain a hidden mixture of chemicals being deliberately released into the atmosphere for testing on unsuspecting populations.
19,6,Airplane contrails are actually chemicals or biological agents being deliberately sprayed for nefarious purposes.
19,7,The government releases chemtrails over the population to make people sick.
19,8,The government is creating chemtrails to control the weather.
19,9,Governments use airplanes to spread chemicals and drugs into the atmosphere to modify behavior or control populations.
19,10,The government is secretly testing poisons on us with high-flying jets.
19,11,The government is using chemtrails released from jets to drug and control the masses.
19,12,The government spreads chemtrails to control behavior.
19,13,"Countries around the world are using ""kim trails"" to poison the population."
19,14,Planes are leaving vapor trails that are making us sick.
19,15,The government controls the air quality and weather with jets in the sky.
19,16,"The government, with the help of the airline industry, is modifying the climate using chemtrails."
19,17,Airplane contrails in the sky are actually chemical or biological agents intentionally sprayed for harmful purposes.
19,18,Chemtrails are used to release toxins that harm people.
19,19,The government is creating chem trails to poison the population.
19,20,The patterns seen in the sky from plane trails are part of a weather control initiative.
19,21,Chemtrails are used to make us sick.
19,22,"Airplanes are deliberately dumping chemicals into the air for an undisclosed purpose, contributing to global dimming."
19,23,The government is deliberately poisoning us with chemtrails.
19,24,Airplanes release chemicals into the air in their jet streams.
19,25,Aircrafts leave smoke behind that is designed to control the weather.
19,26,The skies are being sprayed with toxins to make people sick and for climate control.
19,27,The vapor trails from commercial jet traffic contain odd materials because jet fuel is spiked.
19,28,The government is manipulating the weather with HAARP.
19,29,The US government uses jet airliner contrails to distribute substances and conduct tests on people on the ground.
19,30,The government is complicit in the aerial spread of chemical contaminants known as chemtrails.
20,1,Vaccines are responsible for the increase in autism cases.
20,2,Certain vaccines cause autism in children.
20,3,Vaccines cause more harm than good and lead to autism.
20,4,Childhood vaccines cause autism.
20,5,Vaccines can cause health problems such as autism.
20,6,Vaccines cause autism.
20,7,"Vaccinations, such as MMR, contribute to autism in children."
20,8,The MMR vaccine causes autism in children by triggering it in more vulnerable individuals due to its specific ingredients.
20,9,Immunizations are one of the causes of autism.
20,10,Covid shots do not work well and cause serious side effects.
20,11,COVID vaccines increase the chance of getting the illness.
20,12,Covid vaccines are harmful and have killed more people than the Covid infection itself.
20,13,"The COVID-19 vaccine alters DNA, as some people have experienced significant health issues after vaccination."
20,14,"The Covid-19 vaccine includes RNA that reprograms human DNA, resulting in vaccine-related injuries such as headaches or migraines."
20,15,"The Covid vaccine causes various illnesses and diseases, including death."
20,16,The COVID vaccines are poisonous and untested.
20,17,Vaccinations can cause more harm than good.
20,18,Vaccines are intentionally designed to make people ill.
20,19,There is snake venom in the vaccine.
20,20,The COVID vaccine causes death and was mandated without sufficient trials.
20,21,MRNA vaccines are used by Bill Gates to inject microchips into people to control their lives.
20,22,NA
21,1,COVID-19 was an experiment that was knowingly released by the Chinese.
21,2,"Covid-19 was manufactured in a laboratory and then released, resulting in the deaths of millions of people."
21,3,Covid-19 was created in a Chinese lab and intentionally released into the world by the Chinese government.
21,4,The Covid virus originated in a lab and was specifically released.
21,5,COVID-19 started in a lab and was deliberately unleashed.
21,6,Covid-19 was concocted in a lab and released on the public.
21,7,The recent COVID virus was engineered by the Chinese in a secret lab.
21,8,The Coronavirus pandemic was deliberately developed and caused by China.
21,9,Covid was created in a lab in China as a mechanism of terrorism.
21,10,Covid originated from a lab in China as part of an attempt to disrupt global economic stability.
21,11,COVID was a deliberate lab leak orchestrated by the Chinese government.
21,12,COVID-19 was engineered and deliberately released.
21,13,Covid-19 was manufactured by a lab in China and released on purpose.
21,14,COVID-19 was deliberately released into the world.
21,15,"Covid-19 began in a biological weapon's lab in Wuhan, China, through a leak."
21,16,Covid was purposefully created in a laboratory by the Chinese to infect the world.
21,17,"Covid-19 was intentionally created in another country, which is responsible for the deaths of millions of people."
21,18,The Covid-19 virus was purposefully released by the Chinese government.
21,19,The COVID-19 pandemic was intentionally started by a man-made virus.
21,20,Dangerous viruses like Covid were deliberately released from a facility where they were initially developed.
21,21,The coronavirus was purposely released from a Chinese laboratory and their government is concealing this information.
21,22,The COVID virus was deliberately released to the public.
21,23,"The COVID-19 virus was deliberately created and released from a Chinese lab, not from an open market in China as claimed by the Chinese and US governments."
21,24,The COVID-19 virus was deliberately released by the Chinese government.
21,25,Covid-19 is a bioweapon that originated in a lab in China.
21,26,China created and released the COVID-19 virus.
21,27,COVID-19 was created in a lab and mistakenly released into the world as a covert measure to reduce the population.
