item_id,ResponseId,study,field,n_raters_ok,mean_confidence,consensus_response_quality,consensus_primary_theme,evid_pos,expt_pos,emph_pos,detl_pos,conx_pos,priv_pos,lack_neg,deep_neg,angr_neg,evid_neg,bias_neg,mech_neg,trst_neg,offt_neg,emot_neg,n_contested_themes,low_agreement_flag
S1_R_7OrEAAcerM55Emh_pers,R_7OrEAAcerM55Emh,S1,persuasive,5,0.828,substantive,lack_neg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1
S1_R_7TNp1LoZF4WIjpj_notpers,R_7TNp1LoZF4WIjpj,S1,not_persuasive,5,0.946,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S1_R_7cuNrXTChgvKZsD_notpers,R_7cuNrXTChgvKZsD,S1,not_persuasive,5,0.902,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_R_7dS2djvOwyQDBqR_notpers,R_7dS2djvOwyQDBqR,S1,not_persuasive,5,0.964,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_1C8ONTsmSgnaMOl_notpers,R_1C8ONTsmSgnaMOl,S2,not_persuasive,5,0.94,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S2_R_1CNJFoR3wCfPi6t_pers,R_1CNJFoR3wCfPi6t,S2,persuasive,5,0.694,substantive,deep_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S2_R_1Pj17nIPXZx56wK_notpers,R_1Pj17nIPXZx56wK,S2,not_persuasive,5,0.732,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_1h0wABDAG06AA0S_pers,R_1h0wABDAG06AA0S,S2,persuasive,5,0.808,substantive,conx_pos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
S2_R_1lfpuYQ3yw3DQgg_notpers,R_1lfpuYQ3yw3DQgg,S2,not_persuasive,5,0.878,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_1nUzOD42t70l5qY_pers,R_1nUzOD42t70l5qY,S2,persuasive,5,0.732,substantive,emph_pos,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
S2_R_3C854vzL23vDrdN_pers,R_3C854vzL23vDrdN,S2,persuasive,5,0.932,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3Ex9BwbTUr9Rnln_pers,R_3Ex9BwbTUr9Rnln,S2,persuasive,5,0.904,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3G8xUrUKOHAreMN_notpers,R_3G8xUrUKOHAreMN,S2,not_persuasive,5,0.676,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3HB9YFA4t04IK77_notpers,R_3HB9YFA4t04IK77,S2,not_persuasive,5,0.782,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S2_R_3IAbaPVU1BcXUpg_notpers,R_3IAbaPVU1BcXUpg,S2,not_persuasive,5,0.956,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3Kpu3nlT9UjaFDX_pers,R_3Kpu3nlT9UjaFDX,S2,persuasive,5,0.892,substantive,expt_pos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3dW8nGXT6d67CLf_pers,R_3dW8nGXT6d67CLf,S2,persuasive,5,0.838,substantive,expt_pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_3iQEhIO1peu9FRx_notpers,R_3iQEhIO1peu9FRx,S2,not_persuasive,5,0.786,substantive,expt_pos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S2_R_3iQEhIO1peu9FRx_pers,R_3iQEhIO1peu9FRx,S2,persuasive,5,0.874,substantive,lack_neg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S2_R_3kcegcHorbuzUC0_notpers,R_3kcegcHorbuzUC0,S2,not_persuasive,5,0.782,substantive,evid_neg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
S2_R_3kv2KebmpwPA5B3_notpers,R_3kv2KebmpwPA5B3,S2,not_persuasive,5,0.946,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_52Ki1lG8EjkpExz_pers,R_52Ki1lG8EjkpExz,S2,persuasive,5,0.732,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_5aP0ybNQvzsFBjS_notpers,R_5aP0ybNQvzsFBjS,S2,not_persuasive,5,0.69,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S2_R_6GHzSmE7bbrMpxk_notpers,R_6GHzSmE7bbrMpxk,S2,not_persuasive,5,0.922,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_6pVlImfaE0jNGs3_notpers,R_6pVlImfaE0jNGs3,S2,not_persuasive,5,0.768,substantive,bias_neg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
S2_R_7F3at0MPPkY4kcw_notpers,R_7F3at0MPPkY4kcw,S2,not_persuasive,5,0.848,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S2_R_7H0MebG0Bix3Rdg_pers,R_7H0MebG0Bix3Rdg,S2,persuasive,5,0.93,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S2_R_7IsAKTJ5x7DrPq1_pers,R_7IsAKTJ5x7DrPq1,S2,persuasive,5,0.802,substantive,detl_pos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_7LCHiEXUfoShjlx_pers,R_7LCHiEXUfoShjlx,S2,persuasive,5,0.726,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_7SphjCbEycvehUZ_notpers,R_7SphjCbEycvehUZ,S2,not_persuasive,5,0.872,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S2_R_7bPv84FxfGrpUIx_pers,R_7bPv84FxfGrpUIx,S2,persuasive,5,0.87,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_7myqrlEiCyLXgRo_notpers,R_7myqrlEiCyLXgRo,S2,not_persuasive,5,0.876,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S2_R_7nPGfvPpQLpZD31_pers,R_7nPGfvPpQLpZD31,S2,persuasive,5,0.684,substantive,expt_pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S2_R_7yNaPa3cwjF9kXf_pers,R_7yNaPa3cwjF9kXf,S2,persuasive,5,0.862,substantive,evid_pos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_10wQLC1zaqcoVvG_notpers,R_10wQLC1zaqcoVvG,S3,not_persuasive,5,0.978,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1DMZzesOe6g9dlH_pers,R_1DMZzesOe6g9dlH,S3,persuasive,5,0.846,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_1EbeSR1k3i2WsXF_notpers,R_1EbeSR1k3i2WsXF,S3,not_persuasive,5,0.944,substantive,evid_neg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S3_R_1LcHRMOJhuuzK7u_notpers,R_1LcHRMOJhuuzK7u,S3,not_persuasive,5,0.796,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1MYi4s0KadUk2Yp_pers,R_1MYi4s0KadUk2Yp,S3,persuasive,5,0.824,substantive,emph_pos,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1SBry9D2Z2nTRXn_pers,R_1SBry9D2Z2nTRXn,S3,persuasive,5,0.788,substantive,detl_pos,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
S3_R_1bGYdHvdq9UQQHc_pers,R_1bGYdHvdq9UQQHc,S3,persuasive,5,0.776,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1cTgXrpLlc9n3mX_pers,R_1cTgXrpLlc9n3mX,S3,persuasive,5,0.906,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1oA3i8lDLo599Lf_pers,R_1oA3i8lDLo599Lf,S3,persuasive,5,0.734,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_1s5oO65imcoQo1B_notpers,R_1s5oO65imcoQo1B,S3,not_persuasive,5,0.752,substantive,offt_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S3_R_32QgA1bOdyVQm4x_notpers,R_32QgA1bOdyVQm4x,S3,not_persuasive,5,0.786,substantive,expt_pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_358hEaJVUNYt8lz_notpers,R_358hEaJVUNYt8lz,S3,not_persuasive,5,0.886,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S3_R_3EhdJAa5o4lsoZK_pers,R_3EhdJAa5o4lsoZK,S3,persuasive,5,0.82,meta_or_off_topic,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_3F20lsUN7UZstAd_notpers,R_3F20lsUN7UZstAd,S3,not_persuasive,5,0.762,substantive,offt_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S3_R_3OZKiW6g2mj8MwV_notpers,R_3OZKiW6g2mj8MwV,S3,not_persuasive,5,0.876,substantive,evid_neg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S3_R_3QGj98lnlEVggvh_notpers,R_3QGj98lnlEVggvh,S3,not_persuasive,5,0.908,substantive,lack_neg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S3_R_3QRql2EXIqKe7Om_notpers,R_3QRql2EXIqKe7Om,S3,not_persuasive,5,0.672,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_3x7yx5JqToPLJyF_pers,R_3x7yx5JqToPLJyF,S3,persuasive,5,0.812,substantive,deep_neg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
S3_R_54wp9ZSuGt6A3I0_pers,R_54wp9ZSuGt6A3I0,S3,persuasive,5,0.726,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S3_R_5PBwxIlNDGQ3kCE_pers,R_5PBwxIlNDGQ3kCE,S3,persuasive,5,0.842,substantive,expt_pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_5RPyT95BRsuh7JW_notpers,R_5RPyT95BRsuh7JW,S3,not_persuasive,5,0.752,substantive,angr_neg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
S3_R_5RfqL6AqwuzPK01_notpers,R_5RfqL6AqwuzPK01,S3,not_persuasive,5,0.87,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_5fH0fVUbwxgfHcT_pers,R_5fH0fVUbwxgfHcT,S3,persuasive,5,0.894,substantive,evid_pos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_6RKTOXwuifhfKnf_pers,R_6RKTOXwuifhfKnf,S3,persuasive,5,0.92,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_716hgdWDPTkkkYS_pers,R_716hgdWDPTkkkYS,S3,persuasive,5,0.734,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_79rk9wnvJilYBgJ_notpers,R_79rk9wnvJilYBgJ,S3,not_persuasive,5,0.926,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
S3_R_7BDgx95kdVrR4ul_pers,R_7BDgx95kdVrR4ul,S3,persuasive,5,0.818,meta_or_off_topic,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S3_R_7CpLQDtkI760T78_pers,R_7CpLQDtkI760T78,S3,persuasive,5,0.802,substantive,conx_pos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S3_R_7oXWA2rQXzTS47A_notpers,R_7oXWA2rQXzTS47A,S3,not_persuasive,5,0.926,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S3_R_7uZqRbwVw10EAsp_notpers,R_7uZqRbwVw10EAsp,S3,not_persuasive,5,0.904,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S4_R_1BWAkiDfMc8etPn_notpers,R_1BWAkiDfMc8etPn,S4,not_persuasive,5,0.918,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_1DTsVQ5PcjRNsHP_notpers,R_1DTsVQ5PcjRNsHP,S4,not_persuasive,5,0.898,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_1FVx0rnHskjeFus_notpers,R_1FVx0rnHskjeFus,S4,not_persuasive,5,0.894,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_1h09epg1bJRQFjK_notpers,R_1h09epg1bJRQFjK,S4,not_persuasive,5,0.758,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_1ltmayKDeUwfjrP_notpers,R_1ltmayKDeUwfjrP,S4,not_persuasive,5,0.724,substantive,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S4_R_1q9jYvzpXqd6Di3_notpers,R_1q9jYvzpXqd6Di3,S4,not_persuasive,5,0.866,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
S4_R_1sRwy0Bwcs4IqAH_pers,R_1sRwy0Bwcs4IqAH,S4,persuasive,5,0.91,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_31iw3tyfVhW875U_pers,R_31iw3tyfVhW875U,S4,persuasive,5,0.806,substantive,evid_neg,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S4_R_3Dd37MxXXjUcWFv_pers,R_3Dd37MxXXjUcWFv,S4,persuasive,5,0.95,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S4_R_3KVBzxJYR8ojLSL_pers,R_3KVBzxJYR8ojLSL,S4,persuasive,5,0.634,substantive,emph_pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S4_R_3Lva0t2Arz9cyOs_pers,R_3Lva0t2Arz9cyOs,S4,persuasive,5,0.878,substantive,evid_pos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S4_R_3dFFnICSVWxTeVQ_notpers,R_3dFFnICSVWxTeVQ,S4,not_persuasive,5,0.738,substantive,lack_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S4_R_3n7wGKqBthgAQtX_notpers,R_3n7wGKqBthgAQtX,S4,not_persuasive,5,0.958,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_3ria0bci4bqVjQR_notpers,R_3ria0bci4bqVjQR,S4,not_persuasive,5,0.922,no_answer,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_3s4uNSzY0J2xAkd_pers,R_3s4uNSzY0J2xAkd,S4,persuasive,5,0.936,substantive,expt_pos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_3tD3GJws76UHtb2_notpers,R_3tD3GJws76UHtb2,S4,not_persuasive,5,0.904,substantive,mech_neg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S4_R_515RgGLy90puIje_pers,R_515RgGLy90puIje,S4,persuasive,5,0.862,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_5OviAiEkCjc0L3A_pers,R_5OviAiEkCjc0L3A,S4,persuasive,5,0.818,substantive,evid_pos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
S4_R_5Ph7ma1b6NqNhaI_notpers,R_5Ph7ma1b6NqNhaI,S4,not_persuasive,5,0.856,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_5TGKaX3pl0fHwqZ_pers,R_5TGKaX3pl0fHwqZ,S4,persuasive,5,0.868,substantive,detl_pos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_5WJtqiEzotbFKeu_notpers,R_5WJtqiEzotbFKeu,S4,not_persuasive,5,0.77,substantive,conx_pos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_6OFbdHpnJWb4xFf_pers,R_6OFbdHpnJWb4xFf,S4,persuasive,5,0.898,substantive,evid_pos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_6Pk52mEOUhJ22QF_notpers,R_6Pk52mEOUhJ22QF,S4,not_persuasive,5,0.812,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
S4_R_6dm2LntDi217oh9_pers,R_6dm2LntDi217oh9,S4,persuasive,5,0.876,substantive,evid_pos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_6wlZkX2D65kx9V7_notpers,R_6wlZkX2D65kx9V7,S4,not_persuasive,5,0.884,substantive,evid_neg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
S4_R_724HB5fOV0DqyIv_pers,R_724HB5fOV0DqyIv,S4,persuasive,5,0.86,substantive,lack_neg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S4_R_7DCDDissutNYswN_pers,R_7DCDDissutNYswN,S4,persuasive,5,0.896,substantive,offt_neg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S4_R_7QERSD7vwtMZZP2_notpers,R_7QERSD7vwtMZZP2,S4,not_persuasive,5,0.856,substantive,trst_neg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
S4_R_7VjCInd7hLK0roq_pers,R_7VjCInd7hLK0roq,S4,persuasive,5,0.888,substantive,evid_pos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_R_7ax72xwiW8kWUjD_pers,R_7ax72xwiW8kWUjD,S4,persuasive,5,0.782,unclassifiable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
